SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	LIST	OUTFIT
020228AB	040228AB	ANQBRKLutasma	Lutasma	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02022EB0	04022EB0	ANQCORCorintheGuardPatrolDay01	Corinthe Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020231D6	040231D6	ANQCOROgradroBadrak	Ogra dro-Badrak	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020247DD	040247DD	ANQCOREvadeMoer	Eva de Moer	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02025417	04025417	ANQDNCHadutsei	Hadutsei	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0202DF86	0402DF86	ANQRHInghajiTribeswoman01	Inghaji Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0202DF89	0402DF89	ANQRHVeleucia	Veleucia	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0202E52F	0402E52F	ANQCORJolana	Jolana	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0202E66A	0402E66A	ANQRHTchala	T'chala the Songstress	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0202ED46	0402ED46	ANQRHLomasa	Lomasa	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020327B5	040327B5	ANQMNIdhassi	High Priestess Idhassi	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020327B8	040327B8	ANQMNMShaani	Priestess M'Shaani	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020327BC	040327BC	ANQMNJjarsa	Priestess J'Jarsa	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020327C0	040327C0	ANQMNTsiyama	Acolyte Tsiyama	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020327C3	040327C3	ANQMNBahdani	Acolyte Bahdani	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02033416	04033416	ANQORCDinhcara	Dinh'cara	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02033C17	04033C17	ANQTRBDgazahbaClanMother	Dgazehba Clan Mother	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02033CAF	04033CAF	ANQCORLlaveraSovalu	Llavera Sovalu	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0203465C	0403465C	ANQTRBDgazahbaTribeswoman01	Dgazahba Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020350CD	040350CD	ANQTRBDgazahbaTribeswoman02	Dgazahba Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020350D0	040350D0	ANQTRBDgazahbaTribeswoman03	Dgazahba Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020350D2	040350D2	ANQTRBAzkhanClanMother	Azkhan Clan Mother	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020365E7	040365E7	ANQSQ09DarshgraMaduk	Darsh gra-Maduk	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02036AC6	04036AC6	ANQORCTkajeja	T'kajeja	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02037289	04037289	ANQCORSlaveKhamuzi	Khamuzi	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0203728B	0403728B	ANQCORSlaveAffri	Affri	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02037294	04037294	ANQCORTsambadi	Lampkeeper Tsambadi	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02037CF7	04037CF7	ANQORCOyakhaSharzog	Oyakha Sharzog	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02038BFE	04038BFE	ANQORCStatillaCarauda	Statilla Carauda	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0203BC35	0403BC35	ANQRHTylaena	Tylaena	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0203BC88	0403BC88	ANQDNCGretje	Gretje	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0203C8B7	0403C8B7	ANQCORIngaLooseLegs	Inga Loose-Legs	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0203C923	0403C923	ANQORCHidrak	Hidrak the Witch	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0203C931	0403C931	ANQORCGarlag	Garlag the Witch	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0203D34E	0403D34E	ANQCORSnarriva	Snarriva	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0203FF67	0403FF67	ANQDUNSabrusha	Sabrusha	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020417AD	040417AD	ANQCORShedzana	Shedzana	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0204311A	0404311A	ANQDUNAhdni	Ahdni	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0204388E	0404388E	ANQCORPsharAbtanjana	P'shar Abtanjana	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02045B0C	04045B0C	ANQCORSayadra	Sayadra	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02045B0D	04045B0D	ANQCORLorrieneTarelle	Lorriene Tarelle	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02048EC2	04048EC2	ANQCORCorinthePalaceGuardPostDay02	Corinthe Palace Guard	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0204A85B	0404A85B	ANQCORImperialLegionSoldier02	Imperial Legion Soldier	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0204B09C	0404B09C	ANQCORPsharZdastari	P'shar Z'dastari	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0204B6CD	0404B6CD	ANQRHQueenNaghea	Queen Naghea	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0204BA69	0404BA69	ANQBRKDeadTickles	Tickles	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0204CBF8	0404CBF8	ANQCORHaskara	Haskara	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0204E5C2	0404E5C2	ANQCORCorintheJailor	Corinthe Jailor	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0204ED7A	0404ED7A	ANQCORTynemwe	Tynemwe	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02051D9F	04051D9F	ANQRHDgazahbiTribeswoman01	Dgazahbi Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020551C5	040551C5	ANQORCJJirra	J'Jirra	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020551C9	040551C9	ANQORCHakshala	Hakshala	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02057670	04057670	ANQCORPulliaSybatis	Pullia Sybatis	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02057F0A	04057F0A	ANQRHAzkhanTribeswoman01	Azkhan Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02057F0C	04057F0C	ANQRHJliqa	J'liqa	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02057F0D	04057F0D	ANQRHNdrissi	Clan Mother N'drissi	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020588A6	040588A6	ANQORCOrcrestArcherOrcF03	Orcrest Archer	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020588EC	040588EC	ANQORCOrcrestSoldierKhajiitF01	Orcrest Soldier	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020588F1	040588F1	ANQORCOrcrestSoldierOrcF01	Orcrest Soldier	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020593C4	040593C4	ANQORCOrcrestArcherKhajiitF01	Orcrest Archer	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0205AE10	0405AE10	ANQCORDungeonPrisonerBandit01F	Prisoner	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0205AEF3	0405AEF3	ANQKNGElephantSeller	G'nyassa	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02062BE9	04062BE9	ANQCORGlyciaFulgentius	Glycia Fulgentius	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02063CC0	04063CC0	ANQCORMeraendil	Meraendil	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020677B1	040677B1	ANQTribalHunterF01ASuthayRaht	Tribal Hunter	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020677B2	040677B2	ANQTribalHunterF01BSuthayRaht	Tribal Hunter	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020677B5	040677B5	ANQTribalHunterF02ASuthay	Tribal Hunter	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020677B6	040677B6	ANQTribalHunterF02BSuthay	Tribal Hunter	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020677B9	040677B9	ANQTribalHunterF03AOhmesRaht	Tribal Hunter	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020677BA	040677BA	ANQTribalHunterF03BOhmesRaht	Tribal Hunter	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02069C4B	04069C4B	ANQCORMoonPriestess01	Moon Priestess	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0206E544	0406E544	ANQMCG01RedJazaska	Red Jazaska	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02073810	04073810	ANQSQ08DremoraOfTheLamp	Dremora of the Lamp	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02073825	04073825	ANQTribalShamanF01Ohmes	Tribal Witch	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
02073827	04073827	ANQTribalShamanF02Suthay	Tribal Witch	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02078252	04078252	ANQHG03Mnalawa	Mnalawa	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0207DCEC	0407DCEC	ANQSQ08LoveWoman	Love	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0207E3E7	0407E3E7	ANQRMNRishaya	Rishaya	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020826CD	040826CD	ANQSQ06OrcPilgrim03	Orc Pilgrim	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0208811E	0408811E	ANQSQ05ValenwoodScoutCaptain01	Valenwood Scout Captain	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02088125	04088125	ANQSQ05ValenwoodScout03	Valenwood Scout	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0208812F	0408812F	ANQTRBGbujewaClanMother	Gbujewa Clan Mother	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02088133	04088133	ANQTRBGbujewaTribeswoman01	Gbujewa Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02088134	04088134	ANQTRBGbujewaTribeswoman02	Gbujewa Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02088135	04088135	ANQTRBGbujewaTribeswoman03	Gbujewa Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
02088B16	04088B16	ANQHG05DeadKhajiit	Dead Khajiit	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0208A71A	0408A71A	ANQTRBQwazaniTribeswoman01	Q'wazani Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0208A71B	0408A71B	ANQTRBQwazaniTribeswoman02	Q'wazani Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0208A71C	0408A71C	ANQTRBQwazaniTribeswoman03	Q'wazani Tribeswoman	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0208B55D	0408B55D	ANQTRVPilgrimF01	Pilgrim	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0208B565	0408B565	ANQTRVHarvesterF01	Harvester	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0208B567	0408B567	ANQTRVHarvesterF02	Harvester	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0208B568	0408B568	ANQTRVHarvesterF03	Harvester	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0208B569	0408B569	ANQTRVOldHagF01	Old Hag	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0208B56D	0408B56D	ANQTRVTravellerF01	Traveller	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0208B571	0408B571	ANQTRVPeddlerF01	Peddler	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020913BF	040913BF	ANQRMNChibilha	Chibilha	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
0209591E	0409591E	ANQDUNBahmarra	Bahmarra	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020963E2	040963E2	ANQDUNCherimWorker01	Cherim Worker	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020963E4	040963E4	ANQDUNCherimWorker04	Cherim Worker	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020963E6	040963E6	ANQDUNCherimWorker02	Cherim Worker	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020963E8	040963E8	ANQDUNCherimWorker05	Cherim Worker	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02097ED8	04097ED8	ANQORCOrcrestArcherOrcF01	Orcrest Archer	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
02097EDA	04097EDA	ANQORCOrcrestArcherOrcF02	Orcrest Archer	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
0209856E	0409856E	ANQDUNLeetalaCherim	Leetala Cherim	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02099071	04099071	ANQSQ02BhorlarzAvenger02	Ugarka dra-Labag	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
02099076	04099076	ANQORCFalargadraSharka	Falarga dra-Sharka	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0209B94E	0409B94E	ANQRMNSkoomaAddict03	Skooma Addict	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
0209B954	0409B954	ANQRMNSkoomaAddict06	Skooma Addict	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
0209B956	0409B956	ANQRMNSkoomaAddict08	Skooma Addict	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020A2800	040A2800	ANQLGNVestiaLaurentia	Vestia Laurentia	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020A5B06	040A5B06	ANQDUNTheCrone	The Crone	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_02
020A6C11	040A6C11	ANQDUNLeba	Leba	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020A741B	040A741B	ANQCORChaeVarseu	Chae-Varseu	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_03
020A848E	040A848E	ANQRHHnassa	H'nassa	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020A88D7	040A88D7	ANQRMNLinJiao	Lin-Jiao	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020A88D8	040A88D8	ANQRMNMarette	Marette	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_04
020A9E84	040A9E84	ANQLGNMuniciaBellisarius	Municia Bellisarius	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020AC3AB	040AC3AB	ANQDUNBatiaArastius	Batia Arastius	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020AFAB6	040AFAB6	ANQRMNKhajiitBeggar01	Khajiit Beggar	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
020B03F9	040B03F9	ANQRMNDancesInLight	Dances-In-Light	ELSW_OUTFITS_TO_CHOOSE	00SI_ElSW_OutfitBase_01
