SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	SEX	HAIR	HL
01001145	03001145	MQ16ImperialArcher02	Imperial Legion Archer	M	0Theo	0TheoHL
01001734	03001734	BWCWatersEdge1	Blackwood Company Guard	M	0Victor	0VictorHL
010025FA	030025FA	FGC06DeadMiner1	Miner	M	0Theo	0TheoHL
010025FD	030025FD	FGC06DeadMiner2	Miner	M	0TheTruth	0TheTruthHL
0100296A	0300296A	MQ16PalaceDremoraKynval	Dremora Kynval	M	0Theo	0TheoHL
01002E94	03002E94	Thiirchel	Thiirchel	F	0Lamb	0LambHL
01002E95	03002E95	Cingaer	Cingaer	M	0Theo	0TheoHL
01002E96	03002E96	Niraegaer	Niraegaer	M	0TheTruth	0TheTruthHL
01002E97	03002E97	Nedhelfin	Nedhelfin	M	0Victor	0VictorHL
01002E98	03002E98	Thrangirfin	Thrangirfin	M	0RedRobin	0RedRobinHL
01002E99	03002E99	Githriian	Githriian	F	0Lamb	0LambHL
01002E9A	03002E9A	Idrolian	Idrolian	F	0Lamb	0LambHL
01002E9B	03002E9B	Dennilwen	Dennilwen	F	0Lenore	0LenoreHL
01003435	03003435	ElanteofAlinor	Elante of Alinor	F	0Leona	0LeonaHL
010034AF	030034AF	LucienLachanceHunted	Lucien Lachance	M	0RedRobin	0RedRobinHL
010034C0	030034C0	DerveraRomalen	Dervera Romalen	F	0Lenore	0LenoreHL
010034C2	030034C2	MarianaAncharia	Mariana Ancharia	F	0Koala	0KoalaHL
010034C3	030034C3	Shelley	Shelley	F	0Koala	0KoalaHL
010034C4	030034C4	BorbagraUzgash	Borba gra-Uzgash	F	0Koala	0KoalaHL
010034C5	030034C5	TertiaViducia	Tertia Viducia	F	0Leona	0LeonaHL
010034C6	030034C6	HiltheTall	Hil the Tall	M	0RedRobin	0RedRobinHL
010034C7	030034C7	Ohtesse	Ohtesse	F	0Laurell	0LaurellHL
010034C8	030034C8	Errandil	Errandil	M	0Theo	0TheoHL
010034C9	030034C9	GruiandGarrana	Gruiand Garrana	F	0Koala	0KoalaHL
010034CA	030034CA	AndelIndarys	Count Andel Indarys	M	0TheTruth	0TheTruthHL
010034CB	030034CB	NaspiaCosma	Naspia Cosma	F	0Laurell	0LaurellHL
010034CC	030034CC	UlrichLeland	Ulrich Leland	M	0Theo	0TheoHL
010034CD	030034CD	UleneHlervu	Ulene Hlervu	F	0Lamb	0LambHL
010034CE	030034CE	Raqanar	Ra'qanar	M	0TheTruth	0TheTruthHL
010034CF	030034CF	KeldoftheIsles	Keld of the Isles	M	0RedRobin	0RedRobinHL
010034D0	030034D0	Ohtimbar	Ohtimbar	M	0TheTruth	0TheTruthHL
010034D2	030034D2	RytheLythandas	Rythe Lythandas	M	0RedRobin	0RedRobinHL
010034D3	030034D3	TivelaLythandas	Tivela Lythandas	F	0Lamb	0LambHL
010034D4	030034D4	DulfishgroOrum	Dulfish gro-Orum	M	0RedRobin	0RedRobinHL
010034D5	030034D5	MagubgraOrum	Magub gro-Orum	M	0TheTruth	0TheTruthHL
010034D6	030034D6	Voranil	Voranil	M	0TheTruth	0TheTruthHL
010034D7	030034D7	TolisiGirith	Tolisi Girith	F	0Lamb	0LambHL
010034D8	030034D8	TanasaArano	Tanasa Arano	F	0Lenore	0LenoreHL
010034D9	030034D9	RogmeshgraCoblug	Rogmesh gra-Coblug	F	0Laurell	0LaurellHL
010034DA	030034DA	MaknokgroCoblug	Maknok gro-Coblug	M	0Victor	0VictorHL
010034DB	030034DB	Ganredhel	Ganredhel	F	0Lamb	0LambHL
010034DC	030034DC	OghashgraMagul	Oghash gra-Magul	F	0Koala	0KoalaHL
010034DD	030034DD	BazurgroGharz	Bazur gro-Gharz	M	0Theo	0TheoHL
010034DE	030034DE	AldosOthran	Aldos Othran	M	0RedRobin	0RedRobinHL
010034DF	030034DF	LlevanaNedaren	Llevana Nedaren	F	0Lenore	0LenoreHL
010034E0	030034E0	TovasSelvani	Tovas Selvani	M	0Victor	0VictorHL
010038B3	030038B3	MarietteRielle	Mariette Rielle	F	0Lenore	0LenoreHL
010038B5	030038B5	CamillaLollia	Camilla Lollia	F	0Koala	0KoalaHL
010038CA	030038CA	LaytheWavrick	Laythe Wavrick	M	0Victor	0VictorHL
01003946	03003946	Ksharr	K'Sharr	M	0RedRobin	0RedRobinHL
0100398A	0300398A	MathieuBellamont	Mathieu Bellamont	M	0RedRobin	0RedRobinHL
010039A6	030039A6	Eridor	Eridor	M	0RedRobin	0RedRobinHL
010039AB	030039AB	Shamar	Shamar	M	0RedRobin	0RedRobinHL
010039AE	030039AE	Carsten	Carsten	M	0RedRobin	0RedRobinHL
010039B1	030039B1	VontusIdolus	Vontus Idolus	M	0RedRobin	0RedRobinHL
01003A8A	03003A8A	TestVampireNPC	Vampire	M	0RedRobin	0RedRobinHL
01005254	03005254	TestBruceSpells	Bruce	M	0Theo	0TheoHL
01005560	03005560	VeyondArgMale4Monk	Argonian Tribesman	M	0Theo	0TheoHL
01005561	03005561	VeyondArgMale3Nightblade	Argonian Tribesman	M	0RedRobin	0RedRobinHL
01005562	03005562	VeyondArgMale3Scout	Argonian Tribesman	M	0TheTruth	0TheTruthHL
01005563	03005563	VeyondArgMale2Blademaster	Argonian Tribesman	M	0RedRobin	0RedRobinHL
01005564	03005564	VeyondArgFemale2Blademaster	Argonian Tribesman	F	0Laurell	0LaurellHL
01005565	03005565	VeyondArgFemale3Assassin	Argonian Tribesman	F	0Koala	0KoalaHL
01005566	03005566	VeyondArgFemale3Monk	Argonian Tribesman	F	0Koala	0KoalaHL
01005567	03005567	VeyondArgFemale4Nightblade	Argonian Tribesman	F	0Koala	0KoalaHL
01005568	03005568	VeyondArgFemale4Scout	Argonian Tribesman	F	0Leona	0LeonaHL
01005569	03005569	VeyondArgShamanMale3B	Argonian Shaman	M	0Victor	0VictorHL
0100556A	0300556A	VeyondArgShamanMale2	Argonian Shaman	M	0TheTruth	0TheTruthHL
0100556B	0300556B	VeyondArgShamanFemale4A	Argonian Shaman	F	0Lenore	0LenoreHL
0100556C	0300556C	VeyondArgShamanFemale3A	Argonian Shaman	F	0Leona	0LeonaHL
0100556D	0300556D	VeyondArgBossMale1	Argonian Chieftain	M	0TheTruth	0TheTruthHL
0100556E	0300556E	VeyondArgBossMale2	Argonian Chieftain	M	0Victor	0VictorHL
0100556F	0300556F	VeyondArgBossFemale1	Argonian Chieftain	F	0Koala	0KoalaHL
01005570	03005570	VeyondArgBossFemale2	Argonian Chieftain	F	0Lamb	0LambHL
01005571	03005571	VeyondArgMale4Assassin	Argonian Tribesman	M	0TheTruth	0TheTruthHL
010055BD	030055BD	TESTDetection	Bandit	M	0RedRobin	0RedRobinHL
010055C2	030055C2	CheydinhalGuardCastlePostDay01	Cheydinhal Guard	M	0Victor	0VictorHL
010055C3	030055C3	CheydinhalGuardCastlePostDay02	Cheydinhal Guard	M	0RedRobin	0RedRobinHL
010055C4	030055C4	CheydinhalGuardCastlePostNight01	Cheydinhal Guard	M	0Victor	0VictorHL
010055C5	030055C5	CheydinhalGuardCastlePostNight02	Cheydinhal Guard	M	0RedRobin	0RedRobinHL
010055C6	030055C6	CheydinhalGuardCityPatrolDay01	Cheydinhal Guard	M	0Victor	0VictorHL
010055C7	030055C7	CheydinhalGuardCityPatrolDay02	Cheydinhal Guard	M	0TheTruth	0TheTruthHL
010055C8	030055C8	CheydinhalGuardCityPatrolNight01	Cheydinhal Guard	M	0Victor	0VictorHL
010055C9	030055C9	CheydinhalGuardCityPatrolNight02	Cheydinhal Guard	M	0Victor	0VictorHL
010055CA	030055CA	CheydinhalGuardCityPostDay01	Cheydinhal Guard	M	0TheTruth	0TheTruthHL
010055CB	030055CB	CheydinhalGuardCityPostDay02	Cheydinhal Guard	M	0Victor	0VictorHL
010055CC	030055CC	CheydinhalGuardCityPostNight01	Cheydinhal Guard	M	0RedRobin	0RedRobinHL
010055CD	030055CD	CheydinhalGuardCityPostNight02	Cheydinhal Guard	M	0Victor	0VictorHL
010055D2	030055D2	CheydinhalGuardCastlePatrolDay01	Cheydinhal Guard	M	0Theo	0TheoHL
010055D3	030055D3	CheydinhalGuardCastlePatrolNight01	Cheydinhal Guard	M	0RedRobin	0RedRobinHL
010055D4	030055D4	CheydinhalGuardCountEscort	Count's Bodyguard	M	0TheTruth	0TheTruthHL
010055D5	030055D5	CheydinhalGuardJailorDay	Cheydinhal Jailor	M	0Victor	0VictorHL
010055D6	030055D6	CheydinhalGuardJailorNight	Cheydinhal Jailor	M	0Victor	0VictorHL
01008B0D	03008B0D	TestJPD02	Heavy Armor 50	M	0RedRobin	0RedRobinHL
01008B0E	03008B0E	TestJPD03	Heavy Armor 100	M	0TheTruth	0TheTruthHL
01008B0F	03008B0F	TestJPD01	Heavy Armor 1	M	0TheTruth	0TheTruthHL
010091F5	030091F5	BieneAmelion	Biene Amelion	F	0Koala	0KoalaHL
0100922B	0300922B	TheNightMother	The Night Mother	F	0Lenore	0LenoreHL
01009235	03009235	OrumGangCourier1	Camonna Tong Thug	M	0Victor	0VictorHL
01009236	03009236	OrumGangCourier2	Camonna Tong Thug	M	0Theo	0TheoHL
010092A8	030092A8	TG03ChapelUnderCroftGuard	Chapel Guard	F	0Laurell	0LaurellHL
0100950D	0300950D	TestBruceNoMagic	Bruce	M	0TheTruth	0TheTruthHL
010097A5	030097A5	AmantiusAllectus	Amantius Allectus	M	0TheTruth	0TheTruthHL
01009ABE	03009ABE	TESTBandit	Bandit Ringleader	F	0Laurell	0LaurellHL
01009ABF	03009ABF	TESTMarauder	Marauder Warlord	M	0RedRobin	0RedRobinHL
01009AC0	03009AC0	TESTConjurer	Conjurer Adept	M	0Theo	0TheoHL
01009AC1	03009AC1	TESTNecromancer	Necromancer Adept	F	0Leona	0LeonaHL
01009AD3	03009AD3	TESTBandit14	Bandit Ringleader	F	0Koala	0KoalaHL
01009AD5	03009AD5	TESTBandit7	Bandit Ringleader	F	0Lamb	0LambHL
01009AD6	03009AD6	TESTBandit21	Bandit Ringleader	F	0Lamb	0LambHL
01009AD7	03009AD7	TESTConjurer7	Conjurer Adept	M	0RedRobin	0RedRobinHL
01009AD8	03009AD8	TESTConjurer14	Conjurer Adept	M	0TheTruth	0TheTruthHL
01009AD9	03009AD9	TESTConjurer21	Conjurer Adept	M	0Victor	0VictorHL
01009ADA	03009ADA	TESTMarauder7	Marauder Warlord	M	0Victor	0VictorHL
01009ADB	03009ADB	TESTMarauder14	Marauder Warlord	M	0Theo	0TheoHL
01009ADC	03009ADC	TESTMarauder21	Marauder Warlord	M	0Theo	0TheoHL
01009ADD	03009ADD	TESTNecromancer7	Necromancer Adept	F	0Lenore	0LenoreHL
01009ADE	03009ADE	TESTNecromancer14	Necromancer Adept	F	0Koala	0KoalaHL
01009ADF	03009ADF	TESTNecromancer21	Necromancer Adept	F	0Leona	0LeonaHL
01009C38	03009C38	Hlofgar	Hlofgar	M	0TheTruth	0TheTruthHL
01009C39	03009C39	Ashanta	Ashanta	F	0Leona	0LeonaHL
01009C3A	03009C3A	DreetLai	Dreet-Lai	M	0Theo	0TheoHL
01009C3B	03009C3B	Enrion	Enrion	M	0TheTruth	0TheTruthHL
01009C5A	03009C5A	ICWaterfrontGuardDay01	Imperial Watch	M	0RedRobin	0RedRobinHL
0100A082	0300A082	BogrumGroGalash	Bogrum Gro-Galash	M	0RedRobin	0RedRobinHL
0100A083	0300A083	Ranaline	Ranaline	F	0Lenore	0LenoreHL
0100A084	0300A084	Gilgondorin	Gilgondorin	M	0RedRobin	0RedRobinHL
0100A085	0300A085	BrokilgroShatur	Brokil gro-Shatur	M	0Theo	0TheoHL
0100A086	0300A086	JeanPierreLemonds	Jean-Pierre Lemonds	M	0Victor	0VictorHL
0100A087	0300A087	Nilawen	Nilawen	F	0Leona	0LeonaHL
0100A088	0300A088	Ungarion	Ungarion	M	0Victor	0VictorHL
0100A089	0300A089	Daenlin	Daenlin	M	0RedRobin	0RedRobinHL
0100A08A	0300A08A	UravasaOthrelas	Uravasa Othrelas	F	0Lenore	0LenoreHL
0100A08B	0300A08B	Marz	Marz	F	0Lenore	0LenoreHL
0100A08C	0300A08C	ChanaMona	Chana Mona	F	0Koala	0KoalaHL
0100A08D	0300A08D	OlavatheFair	Olava the Fair	F	0Leona	0LeonaHL
0100A08E	0300A08E	RegulusTerentius	Count Regulus Terentius	M	0Theo	0TheoHL
0100A08F	0300A08F	DroNahrah	Dro'Nahrahe	F	0Lamb	0LambHL
0100A090	0300A090	FathisAren	Fathis Aren	M	0Theo	0TheoHL
0100A091	0300A091	HansBlackNail	Hans Black-Nail	M	0RedRobin	0RedRobinHL
0100A092	0300A092	GelliusTerentius	Gellius Terentius	M	0Victor	0VictorHL
0100A093	0300A093	DrelsTheran	Drels Theran	M	0TheTruth	0TheTruthHL
0100A094	0300A094	VincentGalien	Vincent Galien	M	0Theo	0TheoHL
0100A095	0300A095	Nahsi	Nahsi	F	0Koala	0KoalaHL
0100A096	0300A096	TadroseHelas	Tadrose Helas	F	0Lamb	0LambHL
0100A099	0300A099	SelenaOraniaDead	Selena Orania	F	0Koala	0KoalaHL
0100A09A	0300A09A	VolanaroDead	Volanaro	M	0Victor	0VictorHL
0100A0AE	0300A0AE	AnvilGuardCityPostStablesDay	Anvil Guard	M	0Theo	0TheoHL
0100A0AF	0300A0AF	AnvilGuardCityPostStablesNight	Anvil Guard	M	0Theo	0TheoHL
0100A0B0	0300A0B0	BravilGuardCityPostStablesDay	Bravil Guard	M	0Theo	0TheoHL
0100A0B1	0300A0B1	BravilGuardCityPostStablesNight	Bravil Guard	M	0Theo	0TheoHL
0100A0B2	0300A0B2	BrumaGuardCityPostStablesDay	Bruma Guard	M	0TheTruth	0TheTruthHL
0100A0B3	0300A0B3	BrumaGuardCityPostStablesNight	Bruma Guard	M	0Theo	0TheoHL
0100A0B4	0300A0B4	CheydinhalGuardCityPostStablesDay	Cheydinhal Guard	M	0Victor	0VictorHL
0100A0B5	0300A0B5	CheydinhalGuardCityPostStablesNight	Cheydinhal Guard	M	0TheTruth	0TheTruthHL
0100A0B6	0300A0B6	ChorrolGuardPostStablesDay	Chorrol Guard	M	0RedRobin	0RedRobinHL
0100A0B7	0300A0B7	ChorrolGuardPostStablesNight	Chorrol Guard	M	0RedRobin	0RedRobinHL
0100A0B8	0300A0B8	LeyawiinGuardCityStablesPostDay	Leyawiin City Watch	M	0TheTruth	0TheTruthHL
0100A0B9	0300A0B9	LeyawiinGuardCityPostStablesNight	Leyawiin City Watch	M	0TheTruth	0TheTruthHL
0100A0BA	0300A0BA	SkingradGuardPostStablesDay	Skingrad Guard	M	0Theo	0TheoHL
0100A0BB	0300A0BB	SkingradGuardPostStablesNight	Skingrad Guard	M	0RedRobin	0RedRobinHL
0100A108	0300A108	Carandial	Carandial	M	0RedRobin	0RedRobinHL
0100A109	0300A109	CitySwimmer	City-Swimmer	F	0Laurell	0LaurellHL
0100A10A	0300A10A	LucianaGalena	Luciana Galena	F	0Lamb	0LambHL
0100A10B	0300A10B	Andragil	Andragil	F	0Laurell	0LaurellHL
0100A10C	0300A10C	JzinDar	J'zin-Dar	M	0TheTruth	0TheTruthHL
0100A10D	0300A10D	Rvanni	R'vanni	M	0Theo	0TheoHL
0100A10E	0300A10E	ReistrtheRotted	Reistr the Rotted	M	0TheTruth	0TheTruthHL
0100A10F	0300A10F	RoxanneBrigette	Roxanne Brigette	F	0Laurell	0LaurellHL
0100A110	0300A110	AleronLoche	Aleron Loche	M	0Theo	0TheoHL
0100A111	0300A111	UrsanneLoche	Ursanne Loche	F	0Leona	0LeonaHL
0100A112	0300A112	Reenum	Reenum	M	0Victor	0VictorHL
0100A137	0300A137	BravilGuardCastlePostDay01	Bravil Guard	M	0Victor	0VictorHL
0100A13A	0300A13A	BravilGuardCastlePostDay02	Bravil Guard	M	0Victor	0VictorHL
0100A13F	0300A13F	BravilGuardCastlePostNight01	Bravil Guard	M	0Victor	0VictorHL
0100A140	0300A140	BravilGuardCastlePostNight02	Bravil Guard	M	0Theo	0TheoHL
0100A143	0300A143	BravilGuardCityPatrolDay01	Bravil Guard	M	0Victor	0VictorHL
0100A152	0300A152	BravilGuardCityPostDay02	Bravil Guard	M	0Theo	0TheoHL
0100A156	0300A156	BravilGuardCityPostDay03	Bravil Guard	M	0RedRobin	0RedRobinHL
0100A15B	0300A15B	BravilGuardCityPatrolNight01	Bravil Guard	M	0Theo	0TheoHL
0100A15D	0300A15D	BravilGuardCityPostNight02	Bravil Guard	M	0RedRobin	0RedRobinHL
0100A15E	0300A15E	BravilGuardCityPostNight03	Bravil Guard	M	0TheTruth	0TheTruthHL
0100A168	0300A168	BravilGuardCityPostDay01	Bravil Guard	M	0RedRobin	0RedRobinHL
0100A169	0300A169	BravilGuardCityPostNight01	Bravil Guard	M	0Victor	0VictorHL
0100A17D	0300A17D	BravilGuardJailorDay	Bravil Jailor	M	0TheTruth	0TheTruthHL
0100A17E	0300A17E	BravilGuardJailorNight	Bravil Jailor	M	0RedRobin	0RedRobinHL
0100A188	0300A188	BravilGuardEscortCount	Count's Bodyguard	M	0TheTruth	0TheTruthHL
0100A25C	0300A25C	VieraLerus	Viera Lerus	F	0Leona	0LeonaHL
0100A27B	0300A27B	UlfgarFogEye	Ulfgar Fog-Eye	M	0Victor	0VictorHL
0100A27C	0300A27C	Maenlorn	Maenlorn	M	0RedRobin	0RedRobinHL
0100A27D	0300A27D	Caenlorn	Caenlorn	M	0TheTruth	0TheTruthHL
0100A27E	0300A27E	Wilbur	Wilbur	M	0Theo	0TheoHL
0100A280	0300A280	Sshani	S'shani	M	0Victor	0VictorHL
0100A281	0300A281	DidierAumilie	Didier Aumilie	M	0TheTruth	0TheTruthHL
0100A282	0300A282	WilhelmtheWorm	Wilhelm the Worm	M	0TheTruth	0TheTruthHL
0100A283	0300A283	VarelMorvayn	Varel Morvayn	M	0Theo	0TheoHL
0100A285	0300A285	Trevaia	Trevaia	F	0Lamb	0LambHL
0100A286	0300A286	Laralthir	Laralthir	F	0Lamb	0LambHL
0100A287	0300A287	DumaniaJirich	Dumania Jirich	F	0Laurell	0LaurellHL
0100A288	0300A288	MillonaUmbranox	Countess Millona Umbranox	F	0Koala	0KoalaHL
0100A289	0300A289	Dairihill	Dairihill	F	0Laurell	0LaurellHL
0100A28B	0300A28B	Langley	Langley	M	0RedRobin	0RedRobinHL
0100A28C	0300A28C	Baeralorn	Baeralorn	M	0Theo	0TheoHL
0100A28F	0300A28F	Vigdis	Vigdis	F	0Koala	0KoalaHL
0100A290	0300A290	Rhano	Rhano	M	0Theo	0TheoHL
0100A291	0300A291	RufriusVinicius	Rufrius Vinicius	M	0TheTruth	0TheTruthHL
0100A292	0300A292	StentheUgly	Sten the Ugly	M	0Theo	0TheoHL
0100A293	0300A293	LlensiLlaram	Llensi Llaram	F	0Laurell	0LaurellHL
0100A294	0300A294	Huurwen	Huurwen	F	0Lamb	0LambHL
0100A295	0300A295	MirabelleMonet	Mirabelle Monet	F	0Koala	0KoalaHL
0100A296	0300A296	KrognakgroBrok	Krognak gro-Brok	M	0TheTruth	0TheTruthHL
0100A297	0300A297	HaulsRopesFaster	Hauls-Ropes-Faster	M	0Victor	0VictorHL
0100A298	0300A298	Isolde	Isolde	F	0Lenore	0LenoreHL
0100A299	0300A299	Anguilon	Anguilon	M	0RedRobin	0RedRobinHL
0100A29A	0300A29A	Thurindil	Thurindil	M	0RedRobin	0RedRobinHL
0100A29B	0300A29B	HeinrichOakenHull	Heinrich Oaken-Hull	M	0Theo	0TheoHL
0100A29C	0300A29C	Hasathil	Hasathil	F	0Koala	0KoalaHL
0100A29D	0300A29D	PinarusInventius	Pinarus Inventius	M	0Victor	0VictorHL
0100A29E	0300A29E	AstiaInventius	Astia Inventius	F	0Lamb	0LambHL
0100A29F	0300A29F	RusiaBradus	Rusia Bradus	F	0Lenore	0LenoreHL
0100A2A0	0300A2A0	QuillWeave	Quill-Weave	F	0Lamb	0LambHL
0100A2A1	0300A2A1	Orrin	Orrin	M	0TheTruth	0TheTruthHL
0100A2A2	0300A2A2	Maelona	Maelona	F	0Lenore	0LenoreHL
0100A2A3	0300A2A3	JesanSextius	Jesan Sextius	M	0TheTruth	0TheTruthHL
0100A2A4	0300A2A4	GorgogroShura	Gorgo gro-Shura	M	0RedRobin	0RedRobinHL
0100A2A5	0300A2A5	GrayFoxStranger	A Stranger	M	0TheTruth	0TheTruthHL
0100A2A7	0300A2A7	AnvilGuardCastlePostDay01	Anvil Guard	M	0RedRobin	0RedRobinHL
0100A2AA	0300A2AA	AnvilGuardCastlePostDay02	Anvil Guard	M	0RedRobin	0RedRobinHL
0100A2AB	0300A2AB	AnvilGuardCastlePostNight01	Anvil Guard	M	0Victor	0VictorHL
0100A2AE	0300A2AE	AnvilGuardCastlePostNight02	Anvil Guard	M	0Victor	0VictorHL
0100ABB5	0300ABB5	RavenCamoran	Raven Camoran	M	0Theo	0TheoHL
0100B508	0300B508	TESTVampireArcher	Vampire Matriarch	F	0Koala	0KoalaHL
0100B509	0300B509	TESTVampireMelee	Vampire Patriarch	M	0Theo	0TheoHL
0100B50A	0300B50A	TESTVampireMage	Vampire Patriarch	M	0Theo	0TheoHL
0100B50B	0300B50B	TESTVampireArcher7	Vampire Matriarch	F	0Lenore	0LenoreHL
0100B50C	0300B50C	TESTVampireArcher14	Vampire Matriarch	F	0Leona	0LeonaHL
0100B50D	0300B50D	TESTVampireArcher21	Vampire Matriarch	F	0Koala	0KoalaHL
0100B50E	0300B50E	TESTVampireMage7	Vampire Patriarch	M	0Victor	0VictorHL
0100B50F	0300B50F	TESTVampireMage14	Vampire Patriarch	M	0Theo	0TheoHL
0100B510	0300B510	TESTVampireMage21	Vampire Patriarch	M	0RedRobin	0RedRobinHL
0100B511	0300B511	TESTVampireMelee7	Vampire Patriarch	M	0TheTruth	0TheTruthHL
0100B512	0300B512	TESTVampireMelee14	Vampire Patriarch	M	0RedRobin	0RedRobinHL
0100B513	0300B513	TESTVampireMelee21	Vampire Patriarch	M	0Theo	0TheoHL
0100BD60	0300BD60	Larthjar	Larthjar the Laggard	M	0TheTruth	0TheTruthHL
0100BE50	0300BE50	AnvilGuardJailorDay	Anvil Jailor	M	0Victor	0VictorHL
0100BE55	0300BE55	AnvilGuardJailorNight	Anvil Jailor	M	0Theo	0TheoHL
0100BE7F	0300BE7F	LordRugdumph	Lord Rugdumph gro-Shurgak	M	0Theo	0TheoHL
0100BE80	0300BE80	LadyRogbut	Lady Rogbut gra-Shurgak	F	0Lamb	0LambHL
0100BEA7	0300BEA7	DraranaThelis	Drarana Thelis	F	0Laurell	0LaurellHL
0100BEE6	0300BEE6	Fithragaer	Fithragaer	M	0TheTruth	0TheTruthHL
0100BFD7	0300BFD7	AnvilGuardCastlePatrolDay01	Anvil Guard	M	0Theo	0TheoHL
0100BFD9	0300BFD9	AnvilGuardCastlePatrolNight01	Anvil Guard	M	0TheTruth	0TheTruthHL
0100BFDB	0300BFDB	AnvilGuardCastlePostDay03	Anvil Guard	M	0Theo	0TheoHL
0100BFDC	0300BFDC	AnvilGuardCastlePostNight03	Anvil Guard	M	0Theo	0TheoHL
0100BFDF	0300BFDF	AnvilGuardCityPatrolDay01	Anvil Guard	M	0RedRobin	0RedRobinHL
0100BFE9	0300BFE9	AnvilGuardCityPatrolNight01	Anvil Guard	M	0TheTruth	0TheTruthHL
0100BFED	0300BFED	AnvilGuardCityPatrolDay02	Anvil Guard	M	0Victor	0VictorHL
0100BFEE	0300BFEE	AnvilGuardCityPatrolNight02	Anvil Guard	M	0RedRobin	0RedRobinHL
0100BFF7	0300BFF7	AnvilGuardCityPostDay01	Anvil Guard	M	0RedRobin	0RedRobinHL
0100BFF8	0300BFF8	AnvilGuardCityPostNight01	Anvil Guard	M	0Victor	0VictorHL
0100BFFB	0300BFFB	AnvilGuardCityPostDay02	Anvil Guard	M	0RedRobin	0RedRobinHL
0100BFFC	0300BFFC	AnvilGuardCityPostNight02	Anvil Guard	M	0Victor	0VictorHL
0100C03D	0300C03D	SkingradCastleGuardPatrolDay02	Skingrad Guard	M	0RedRobin	0RedRobinHL
0100C03E	0300C03E	SkingradCastleGuardPatrolNight02	Skingrad Guard	M	0Theo	0TheoHL
0100C0F3	0300C0F3	AnvilGuardEscortCountess	Countess's Bodyguard	M	0RedRobin	0RedRobinHL
0100C1D4	0300C1D4	Ormil	Ormil	M	0Theo	0TheoHL
0100C1D5	0300C1D5	GramangroMarad	Graman gro-Marad	M	0Victor	0VictorHL
0100C1D7	0300C1D7	Selene	Selene	F	0Laurell	0LaurellHL
0100C1D8	0300C1D8	Lynch	Lynch	M	0TheTruth	0TheTruthHL
0100C1D9	0300C1D9	Minx	Minx	F	0Koala	0KoalaHL
0100C1DA	0300C1DA	Wrath	Wrath	M	0RedRobin	0RedRobinHL
0100C22D	0300C22D	GrayFoxCorvus	Corvus Umbranox	M	0Victor	0VictorHL
