SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	RACE	SEX	TINI	TINC	TINV	QNAM_WAS	QNAM_NOW	MAX_DELTA_255
0108DBF7	0308DBF7	SEPrisonSeducerFemaleBoss	Dark Seducer Turnkey	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0108DBF6	0308DBF6	SEPrisonSaintFemaleBoss	Golden Saint Turnkey	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0108DB95	0308DB95	SEHillOfSuicidesGhost03	Ghost	DarkElfRace	M	1	89,88,83	80	96,95,91	96,95,91	0
0108DB94	0308DB94	SEHillOfSuicidesGhost02	Ghost	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0108DB93	0308DB93	SEHillOfSuicidesGhost01	Ghost	NordRace	M	1	235,159,140	80	213,152,137	213,152,137	0
01089535	03089535	SE10Pinnacle05bTemplate	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01089534	03089534	SE10Pinnacle04bTemplate	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01089533	03089533	SE10Pinnacle04aTemplate	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01082659	03082659	SE10DarkSeducerDead	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
010825AC	030825AC	SE10KnightOfOrderDead	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
010825AB	030825AB	SE10GoldenSaintDead	Golden Saint	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
01082595	03082595	SEKilledBySheogorath	Sheogorath's Punished	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01082577	03082577	SEPinnacleRockGuard	Dark Seducer Guard	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01082574	03082574	SEBrellachGuard	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
010823BE	030823BE	SEMdesi	M'desi	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
010823BC	030823BC	SEGadeneriRalvel	Gadeneri Ralvel	DarkElfRace	F	24	84,84,78	80	92,92,87	92,92,87	0
010823BA	030823BA	SELorenzBogTrotter	Lorenz Bog-Trotter	NordRace	M	1	235,159,140	80	213,152,137	213,152,137	0
010823B8	030823B8	SESaloniaViria	Salonia Viria	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
010823B5	030823B5	SELimark	Limark	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
010823A9	030823A9	XPEbroccaBody03	Dead Traveler	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0108239E	0308239E	XPEbroccaBody04	Dead Wood Elf	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
01082393	03082393	XPEbroccaBody01	Dead Courier	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
01082362	03082362	SEKnottyBramZealot01Dead	Preserved Zealot	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
01082361	03082361	SEKnottyBramZealot02Live	Zealot Guardian	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
01082360	03082360	SEKnottyBramZealot01Live	Zealot Guardian	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
010820B0	030820B0	XPDeadVolunteer	Dead Volunteer	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0108209F	0308209F	SEDireWarrenTraelius	Traelius	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0108209B	0308209B	XPDireWarrenAlyssa	Alyssa	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
01081B83	03081B83	SE10KnightSentryTemplate	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01081B82	03081B82	SE10Brellach04bTemplate	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01081B15	03081B15	SE10Brellach05bTemplate	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0108146B	0308146B	SEXiditteArbiter	Zealot Arbiter	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
01081362	03081362	SEMazaddhaDead	Ma'zaddha	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
01080DD7	03080DD7	SE08KnightOfOrderPasswallIInitialAttackTEMPLATE	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
010807FB	030807FB	SE08KnightOfOrderPasswallBattleTEMPLATE	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0107FDD1	0307FDD1	SE08KnightDEAD	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0107F47C	0307F47C	SEObelisk10Priest	Priest of Order	DarkElfRace	M	1	89,88,83	80	96,95,91	96,95,91	0
0107F47B	0307F47B	SEObelisk09Priest	Priest of Order	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0107F47A	0307F47A	SEObelisk08Priest	Priest of Order	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0107F479	0307F479	SEObelisk07Priest	Priest of Order	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
0107F478	0307F478	SEObelisk06Priest	Priest of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0107F477	0307F477	SEObelisk05Priest	Priest of Order	DarkElfRace	M	1	89,88,83	80	96,95,91	96,95,91	0
0107F476	0307F476	SEObelisk04Priest	Priest of Order	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0107F475	0307F475	SEObelisk03Priest	Priest of Order	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0107F474	0307F474	SEObelisk02Priest	Priest of Order	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
0107F473	0307F473	SEObelisk01Priest	Priest of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0107F472	0307F472	SEObelisk20Priest	Priest of Order	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0107F471	0307F471	SEObelisk19Priest	Priest of Order	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0107F470	0307F470	SEObelisk18Priest	Priest of Order	DarkElfRace	M	1	89,88,83	80	96,95,91	96,95,91	0
0107F46F	0307F46F	SEObelisk17Priest	Priest of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0107F46E	0307F46E	SEObelisk16Priest	Priest of Order	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
0107F46D	0307F46D	SEObelisk15Priest	Priest of Order	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0107F46C	0307F46C	SEObelisk14Priest	Priest of Order	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0107F46B	0307F46B	SEObelisk13Priest	Priest of Order	DarkElfRace	M	1	89,88,83	80	96,95,91	96,95,91	0
0107F46A	0307F46A	SEObelisk12Priest	Priest of Order	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
0107F469	0307F469	SEObelisk11Priest	Priest of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0107EC00	0307EC00	SE07Xirethard02DarkSeducerMissile02	Dark Seducer Archer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0107EBFF	0307EBFF	SE07Xirethard02DarkSeducerMissile01	Dark Seducer Archer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0107E22D	0307E22D	SE07Xirethard01DarkSeducerMelee04	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0107E220	0307E220	SE07Xirethard01DarkSeducerMelee03	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0107E21F	0307E21F	SE07Xirethard01DarkSeducerMelee02	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0107E20D	0307E20D	SE07Xirethard01DarkSeducerMelee01	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0107E20A	0307E20A	SE07Xirethard01DarkSeducerMissile02	Dark Seducer Archer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0107E205	0307E205	SE07Xirethard01DarkSeducerMissile01	Dark Seducer Archer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0107DD77	0307DD77	SE45ZealotLackey	Zealot Minion	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0107DC03	0307DC03	SEKnottyBramZealot02Dead	Preserved Zealot	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0107DB72	0307DB72	SEXPXavaraPatrolTemplate02	Zealot Neophyte	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0107DB45	0307DB45	SEXPXavaraPatrolTemplate01	Zealot Neophyte	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0107DB41	0307DB41	SE45HereticLackey	Heretic Lackey	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0107DB2C	0307DB2C	SE45HereticBoss	Heretic Crusader	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0107DB28	0307DB28	SE45ZealotBoss	Zealot Crusader	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0107D15E	0307D15E	SERottenPatrol04TEMPLATE	Zealot Neophyte	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0107D15D	0307D15D	SERottenPatrol03TEMPLATE	Zealot Neophyte	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0107B3A9	0307B3A9	SE07BGoldenSaintSiloGuard04	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0107B3A8	0307B3A8	SE07BGoldenSaintSiloGuard03	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0107B3A7	0307B3A7	SE07BGoldenSaintSiloGuard02	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0107B3A6	0307B3A6	SE07BGoldenSaintSiloGuard01	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0107B1FE	0307B1FE	SE07BGoldenSaintPalaceGuard	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0107B13B	0307B13B	SE07BGoldenSaintPrivateQuartersGuard02	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
01079F74	03079F74	SEXeddefenc2PatrolGrummiteTemplate	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01079AA9	03079AA9	SE08KnightHoldPositionWimpy	Knight of Order	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
01078C32	03078C32	SEKnightOfOrder5	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01078C31	03078C31	SEKnightOfOrder1	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01078C04	03078C04	SE08WalkToPasswallKnight	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
010786EC	030786EC	SEXPxiditteC1AlchemyZealotTemplate	Zealot Neophyte	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
01078207	03078207	SEPadEi	Pad-Ei	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
01076904	03076904	SEXiditteGuard	Zealot Guard	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
01076472	03076472	SE32VitharnMatriach	Countess Cirion	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
01076467	03076467	SE32VitharnPatriach	Count Cirion	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
010727E2	030727E2	SE32TestJoelFanatic	Fanatic	NordRace	M	1	235,159,140	80	213,152,137	213,152,137	0
010727C7	030727C7	SE32TestJoelGhost	Vitharn Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01071FBF	03071FBF	SEBeggarBhisha	Bhisha	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0106D1F4	0306D1F4	SE11Apostle08	Apostle	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0106989C	0306989C	SEBeggarUungor	Uungor	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0106989A	0306989A	SEBeggarFimmion	Fimmion	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
01069895	03069895	SEBeggarGloorolros	Gloorolros	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0106988F	0306988F	SEBeggarBolwing	Bolwing	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
01066ECB	03066ECB	SEPyke	Pyke	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
010637AD	030637AD	SE14DSEscort	Dark Seducer Escort	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0106374A	0306374A	SE14GSEscort	Golden Saint Escort	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0106371E	0306371E	SEJyggalagVoice		ImperialRace	M	1	199,135,102	80	184,133,107	184,133,107	0
01062D10	03062D10	SE32Citizen01	Vitharn Ghost Citizen	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
01062D0F	03062D0F	SE32Citizen03	Vitharn Ghost Citizen	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
01061BD7	03061BD7	SEGoldenSaintGuardTEST1	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
010607E1	030607E1	SE14Juggler	Juggler	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
01060793	03060793	SEGrommokgroBarakGhosted	Grommok gro-Barak	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
0105FA48	0305FA48	SENanetteDonOrdered	Nanette Don	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0105FA47	0305FA47	SEJayredIceVeinsOrdered	Jayred Ice-Veins	NordRace	M	1	235,159,140	80	213,152,137	213,152,137	0
0105FA45	0305FA45	SEFelasSarandasOrdered	Felas Sarandas	DarkElfRace	M	1	89,88,83	80	96,95,91	96,95,91	0
0105FA44	0305FA44	SEDredhwenOrdered	Dredhwen	WoodElfRace	F	24	194,131,97	80	180,130,103	180,130,103	0
0105A2A5	0305A2A5	SEXPEbroccaMinion	Clanfather Malifant	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
01059B53	03059B53	SE07Xirethard01DarkSeducerDoorGuard01	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01059B4C	03059B4C	SE07Xirethard01DarkSeducerPatrol01b	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01059B4B	03059B4B	SE07Xirethard01DarkSeducerPatrol01a	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
010560D5	030560D5	SE32Worshipper01	Vitharn Ghost Citizen	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0105609D	0305609D	SE32Worshipper02	Vitharn Ghost Citizen	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
01056039	03056039	SE07BGoldenSaintGardenGuard	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0105602E	0305602E	SE07BGoldenSaintPrivateQuartersGuard01	Golden Saint Guard	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
01056028	03056028	SE01GateVoice1		ImperialRace	M	1	199,135,102	80	184,133,107	184,133,107	0
01055FEE	03055FEE	SE06DarkSeducerVictory	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01055FED	03055FED	SE06GoldenSaintVictory	Golden Saint	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
01055877	03055877	SE07ASESylDouble	Syl	WoodElfRace	F	24	194,131,97	80	180,130,103	180,130,103	0
010554E8	030554E8	SE10SeducerMaleWarrior4	Dark Seducer Warrior	DarkElfRace	M	1	86,82,90	80	94,91,97	94,91,97	0
010554E7	030554E7	SE10SeducerMaleWarrior3	Dark Seducer Warrior	DarkElfRace	M	1	86,82,90	80	94,91,97	94,91,97	0
010554E6	030554E6	SE10SeducerMaleWarrior2	Dark Seducer Warrior	DarkElfRace	M	1	86,82,90	80	94,91,97	94,91,97	0
010554E5	030554E5	SE10SeducerMaleWarrior1	Dark Seducer Warrior	DarkElfRace	M	1	86,82,90	80	94,91,97	94,91,97	0
0105544F	0305544F	SERottenDenZealotBoss2TEMPLATE	Zealot Neophyte	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
01055422	03055422	SERottenPatrol07bTEMPLATE	Zealot Neophyte	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
01055421	03055421	SERottenPatrol07aTEMPLATE	Zealot Neophyte	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0105530F	0305530F	TestTrapVictimLow	LCD	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0105530E	0305530E	TestTrapVictimHigh	LCD	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
01055199	03055199	SE08MiniBoss	Knight of Order	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01055139	03055139	SE07XirethardDarkSeducerPatrol04	Dark Seducer Archer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01055127	03055127	SE07XirethardDarkSeducerPatrol03	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01055126	03055126	SE07XirethardDarkSeducerPatrol01	Dark Seducer Mage	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01055125	03055125	SE07XirethardDarkSeducerPatrol02	Dark Seducer Archer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01055007	03055007	SEBreakneckNovitiate	Heretic Novitiate	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
01055000	03055000	SEBreakneckPatrol02	Heretic Watchman	NordRace	M	1	235,159,140	80	213,152,137	213,152,137	0
01054FE7	03054FE7	SEBreakneckPatrol01	Heretic Watchman	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
01054CD7	03054CD7	SE10SaintMaleWarrior4	Golden Saint Warrior	HighElfRace	M	1	173,119,51	80	163,120,66	163,120,66	0
01054CD6	03054CD6	SE10SaintMaleWarrior3	Golden Saint Warrior	HighElfRace	M	1	173,119,51	80	163,120,66	163,120,66	0
01054CD5	03054CD5	SE10SaintMaleWarrior2	Golden Saint Warrior	HighElfRace	M	1	173,119,51	80	163,120,66	163,120,66	0
01054CD3	03054CD3	SE10SaintMaleWarrior1	Golden Saint Warrior	HighElfRace	M	1	173,119,51	80	163,120,66	163,120,66	0
01054CA2	03054CA2	SE11Apostle07	Apostle	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01054CA1	03054CA1	SE11Apostle06	Apostle	NordRace	M	1	235,159,140	80	213,152,137	213,152,137	0
01054B43	03054B43	SE09Victim06	Victim	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
01054B42	03054B42	SE09Victim05	Victim	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
01054B41	03054B41	SE09Victim04	Victim	ArgonianRace	F	16	81,64,40	80	90,76,57	90,76,57	0
01054984	03054984	SE06DarkSeducerMissileHoldPosition05	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01054983	03054983	SE06DarkSeducerMissileHoldPosition04	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01054982	03054982	SE06DarkSeducerMissileHoldPosition03	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01054981	03054981	SE06DarkSeducerMissileHoldPosition01	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01054980	03054980	SE06DarkSeducerMeleeAttackRoomA03	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0105497F	0305497F	SE06DarkSeducerMeleeAttackRoomA02	Dark Seducer	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
0105497E	0305497E	SE06GoldenSaint05	Golden Saint	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
0105497A	0305497A	SE06GoldenSaint04	Golden Saint	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
01054979	03054979	SE06GoldenSaint03	Golden Saint	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
01054971	03054971	SE06GoldenSaint02	Golden Saint	HighElfRace	F	24	168,115,47	80	159,117,63	159,117,63	0
01053096	03053096	SE07ADarkSeducerEliteChambersGuard01	Dark Seducer Royal Guard	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01053095	03053095	SE07ADarkSeducerEliteChambersGuard02	Dark Seducer Royal Guard	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01052FE5	03052FE5	SE11Apostle05	Luminary Kaz	NordRace	M	1	235,159,140	80	213,152,137	213,152,137	0
01052FE4	03052FE4	SE11Apostle04	Apostle	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01052FE3	03052FE3	SE11Apostle03	Apostle	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01052F92	03052F92	SE07ADarkSeducerEliteQuartersGuard02	Dark Seducer Royal Guard	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01052F90	03052F90	SE07ADarkSeducerEliteQuartersGuard01	Dark Seducer Royal Guard	DarkElfRace	F	24	81,77,86	80	90,87,94	90,87,94	0
01052F74	03052F74	SE32Reveler06	Vitharn Reveler	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
01052F72	03052F72	SE32Reveler04	Vitharn Ghost Reveler	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
01052F70	03052F70	SE32Reveler02	Vitharn Ghost Reveler	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
01052F6F	03052F6F	SE32Reveler01	Vitharn Ghost Reveler	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
01052F61	03052F61	SE32Anglor	Anglor's Ghost	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0105284D	0305284D	SEZealot5BretonMale	Ascended Zealot	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0105284C	0305284C	SEZealot5BretonFemale	Ascended Zealot	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0105284B	0305284B	SEZealot4BretonMale	Zealot Patriarch	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0105284A	0305284A	SEZealot4BretonFemale	Zealot Matriarch	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
01052849	03052849	SEZealot3BretonMale	Zealot Prosleytizer	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
01052848	03052848	SEZealot3BretonFemale	Zealot Prosleytizer	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
01052847	03052847	SEZealot2BretonMale	Zealot Missionary	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
01052846	03052846	SEZealot2BretonFemale	Zealot Missionary	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
01052845	03052845	SEZealot1BretonMale	Zealot Neophyte	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
01052844	03052844	SEZealot1BretonFemale	Zealot Neophyte	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
01052843	03052843	SEZealotBoss5HighElfFemale	Ascended Zealot	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
01052842	03052842	SEZealotBoss4BretonFemale	Zealot Matriarch	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
01052841	03052841	SEZealotBoss3HighElfFemale	Zealot Proselytizer	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
01052840	03052840	SEZealotBoss2BretonFemale	Zealot Missionary	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0105283F	0305283F	SEZealotBoss1BretonFemale	Zealot Neophyte	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0105283E	0305283E	SEHereticBoss5HighElfMale	Transformed Heretic	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0105283D	0305283D	SEHereticBoss4HighElfMale	Heretic Warpriest	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0105283C	0305283C	SEHereticBoss3HighElfMale	Heretic Crusader	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0105283B	0305283B	SEHereticBoss2HighElfMale	Heretic Soldier	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0105283A	0305283A	SEHereticBoss1HighElfMale	Heretic Novitiate	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
01052839	03052839	SEHeretic5HighElfMale	Transformed Heretic	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
