SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	LIST	OUTFIT
0100A289	0300A289	Dairihill	Dairihill	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0100A28F	0300A28F	Vigdis	Vigdis	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0100A293	0300A293	LlensiLlaram	Llensi Llaram	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0100A294	0300A294	Huurwen	Huurwen	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100A295	0300A295	MirabelleMonet	Mirabelle Monet	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0100A298	0300A298	Isolde	Isolde	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
0100A29C	0300A29C	Hasathil	Hasathil	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100A29E	0300A29E	AstiaInventius	Astia Inventius	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100A29F	0300A29F	RusiaBradus	Rusia Bradus	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0100A2A0	0300A2A0	QuillWeave	Quill-Weave	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100A2A2	0300A2A2	Maelona	Maelona	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100B508	0300B508	TESTVampireArcher	Vampire Matriarch	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0100B50B	0300B50B	TESTVampireArcher7	Vampire Matriarch	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0100B50C	0300B50C	TESTVampireArcher14	Vampire Matriarch	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100B50D	0300B50D	TESTVampireArcher21	Vampire Matriarch	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0100BE80	0300BE80	LadyRogbut	Lady Rogbut gra-Shurgak	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0100BEA7	0300BEA7	DraranaThelis	Drarana Thelis	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0100C1D7	0300C1D7	Selene	Selene	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0100C1D9	0300C1D9	Minx	Minx	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
010105E4	030105E4	TestToddWoman15	Woman 15	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01011F9F	03011F9F	SEDredhwen	Dredhwen	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
01011FA2	03011FA2	SERelmynaVerenim	Relmyna Verenim	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
01011FC5	03011FC5	SEGoldenSaintFemaleMelee	Golden Saint	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
01011FCC	03011FCC	SEGoldenSaintFemaleMissile	Golden Saint Archer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01011FD3	03011FD3	SEDarkSeducerFemaleMelee	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01011FD4	03011FD4	SEDarkSeducerFemaleMissile	Dark Seducer Archer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0101207B	0301207B	SE32Althel	Althel's Ghost	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101207C	0301207C	SEAtrabhiMania	Atrabhi	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101207E	0301207E	SECutter	Cutter	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
01012083	03012083	SEJastiraNanusMania	Jastira Nanus	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01012088	03012088	SESheerMeedish	Sheer Meedish	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01012089	03012089	SETallTreesFalling	Tall-Trees-Falling	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101208A	0301208A	SETilseAreleth	Tilse Areleth	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0101208D	0301208D	SEZoeMalene	Zoe Malene	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
01012092	03012092	SEUlfri	Grakedrig Ulfri	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
010120EC	030120EC	SEKaneh	Aurmazl Kaneh	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
010120F2	030120F2	SE06GoldenSaint01	Golden Saint	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01012107	03012107	SESyl	Syl	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
01012109	03012109	SEWideEye	Wide-Eye	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
01012D41	03012D41	SENanetteDon	Nanette Don	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
010135B7	030135B7	SE11Ciirta	Ciirta	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01013623	03013623	SEBrevi	Brevi	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101362C	0301362C	SEAnyaHerrick	Anya Herrick	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01013BC5	03013BC5	SEMuurine	Muurine	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
01013BC7	03013BC7	SENelrene	Nelrene	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
010146C5	030146C5	Dremora5MarkynazMissile3	Dremora Markynaz	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
01014F16	03014F16	TG11ElvenStatue01	Ayleid Guardian	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
010151FA	030151FA	Thalfin	Thalfin	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
010151FE	030151FE	Merete	Merete	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
010153B9	030153B9	Tandilwe	Tandilwe	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
01015588	03015588	SECindanwe	Cindanwe	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
01015590	03015590	SEKishashi	Kishashi	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01015591	03015591	SEMiriliUlven	Mirili Ulven	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01015595	03015595	SEBeelei	Beelei	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
01015599	03015599	SERunsInCircles	Runs-in-Circles	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101559A	0301559A	SESontaire	Sontaire	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
0101559C	0301559C	SECaldanaMonrius	Caldana Monrius	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101559E	0301559E	SEUnaArmina	Una Armina	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
010155A0	030155A0	SEAhjazda	Ahjazda	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
010155A1	030155A1	SESicklyBernice	Sickly Bernice	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01015867	03015867	SEAtrabhiDementia	Atrabhi	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
01015D80	03015D80	BeggarBravilWretchedAia	Wretched Aia	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
01015D86	03015D86	BeggarCheydinhalLucklessLucina	Luckless Lucina	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
01015D8A	03015D8A	BeggarLeyawiinRancidRadirsha	Rancid Ra'dirsha	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01015EA4	03015EA4	Jensine	Jensine	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01015EA8	03015EA8	Palonirya	Palonirya	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
01015EAB	03015EAB	ClaudettePerrick	Claudette Perrick	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
01016054	03016054	PistaMarillin	Pista Marillin	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01016058	03016058	IreneMetrick	Irene Metrick	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101605A	0301605A	CarmanaSintav	Carmana Sintav	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0101605D	0301605D	IdaVlinorman	Ida Vlinorman	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01016060	03016060	Mandil	Mandil	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
01016062	03016062	RomanaFaleria	Romana Faleria	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01016063	03016063	ElisaPierrane	Elisa Pierrane	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01016067	03016067	JastiaSintav	Jastia Sintav	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
01016068	03016068	JenaSintav	Jena Sintav	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
010164BF	030164BF	SE10Saint	Golden Saint Messenger	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01016819	03016819	SEIssmi	Issmi	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101681B	0301681B	SEAdeo	Adeo	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
01016B8E	03016B8E	SEStaada	Staada	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
010171C0	030171C0	SE12OrderPriestMania3	Priest of Order	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
010171C4	030171C4	SE12OrderPriestDementia3	Priest of Order	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0101723C	0301723C	SE07ADarkSeducerEliteBodyguard	Dark Seducer Royal Guard	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
01017432	03017432	SE08GoldenSaintDeadFemale	Golden Saint	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
01017433	03017433	SE08DarkSeducerGrakendoUdico	Grakendo Udico	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01017438	03017438	SE08DarkSeducerDeadFemale	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
01017439	03017439	SE08GoldenSaintAurigDesha	Aurig Desha	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0101745C	0301745C	SE10SaintWarrior1	Golden Saint Warrior	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101745F	0301745F	SE10SaintWarrior2	Golden Saint Warrior	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101746E	0301746E	SEDylora	Dylora	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0101783A	0301783A	SEJastiraNanusDementia	Jastira Nanus	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
01017CFD	03017CFD	SE10SeducerWarrior1	Dark Seducer Warrior	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
01017D00	03017D00	SE10SeducerWarrior2	Dark Seducer Warrior	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
01018DBE	03018DBE	SE06GoldenSaintWarden	Chuna	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
01018DBF	03018DBF	SE06DarkSeducerWarden	Vika	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
01018F8F	03018F8F	SEStela	Stela	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
01018FDA	03018FDA	SE02OrcAdventurer2	Adventurer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0101951C	0301951C	SE06DarkSeducerMissileHoldPosition02	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0101A116	0301A116	SESfara	S'fara	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101A13C	0301A13C	SE06DarkSeducerMeleeHoldPosition	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101A13D	0301A13D	SE06DarkSeducerMeleeRedeploy01	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0101A13E	0301A13E	SE06DarkSeducerMissileRedeploy01	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101A165	0301A165	SE06DarkSeducerUlfriBodyguard01	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0101A1B1	0301A1B1	SE06DarkSeducerMissileRedeploy02	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101A1B2	0301A1B2	SE06DarkSeducerMissileRedeploy03	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101A78E	0301A78E	SE13DarkSeducerCaptain	Autkendo Jansa	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0101A790	0301A790	SE13GoldenSaintCaptain	Aurmazl Zudeh	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101A792	0301A792	SE13DarkSeducerMessenger	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101A795	0301A795	SE13GoldenSaintMessenger	Golden Saint	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101A7A3	0301A7A3	SE13DarkSeducerPalace	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101A7A7	0301A7A7	SE13GoldenSaintPalace	Golden Saint	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
0101AC8C	0301AC8C	SE13DarkSeducerPlayer	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101AC8D	0301AC8D	SE13DarkSeducerGeneric1	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101AC8E	0301AC8E	SE13GoldenSaintGeneric1	Golden Saint	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0101AC8F	0301AC8F	SE13DarkSeducerGenericOfficer	Dark Seducer Grakedrig	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0101AC90	0301AC90	SE13GoldenSaintGenericOfficer	Golden Saint Auredel	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101AC91	0301AC91	SE13GoldenSaintPlayer	Golden Saint	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101AC94	0301AC94	SE13DarkSeducerGeneric2	Dark Seducer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0101ACC5	0301ACC5	SE13GoldenSaintGeneric2	Golden Saint	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0101B038	0301B038	SE10SaintWarriorDead1	Golden Saint Warrior	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101B658	0301B658	SE10SeducerWarriorDead1	Dark Seducer Warrior	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
0101C14C	0301C14C	Rohssan	Rohssan	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0101C166	0301C166	BrittaInvel	Britta Invel	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0101C16D	0301C16D	Termanwe	Termanwe	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0101C458	0301C458	BeggarICMarketSimplicia	Simplicia the Slow	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101C45B	0301C45B	BeggarICTempleBuntara	Ragbag Buntara	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101D343	0301D343	RalsaNorvalo	Ralsa Norvalo	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101D346	0301D346	AlessiaOttus	Alessia Ottus	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101D347	0301D347	IdaOttus	Ida Ottus	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_06
0101D34C	0301D34C	CaulaAllectus	Caula Allectus	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
0101D34E	0301D34E	ReneeGeonette	Renee Geonette	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101D353	0301D353	MaranaRian	Marana Rian	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101D355	0301D355	PraxedesAfranius	Praxedes Afranius	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101D9D6	0301D9D6	SE08XeddefenNPC02	Refugee	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101DB3E	0301DB3E	TestToddMaleRedguard	Cyrus	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_08
0101DB4A	0301DB4A	TestToddWoman45	Women 45	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101DB4B	0301DB4B	TestToddWoman65	Women 65	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101DB52	0301DB52	TestToddWoman25	Women 25	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_01
0101DB53	0301DB53	TestToddWoman35	Women 35	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101DB54	0301DB54	TestToddWoman55	Women 55	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0101E70C	0301E70C	HjolfroditheHarrier	Hjolfrodi the Harrier	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101E796	0301E796	FGD06DeadGuy03	Cargas Laftrius	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_07
0101E831	0301E831	TG03ChapelTombGuard	Chapel Guard	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
0101EC04	0301EC04	DAMeridiaNecromancer3	Necromancer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_05
0101EC05	0301EC05	DAMeridiaNecromancer4	Necromancer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_03
0101EC06	0301EC06	DAMeridiaNecromancer5	Necromancer	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
0101EC33	0301EC33	LadyDrad	Lady Drad	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_04
0101EC5D	0301EC5D	Vajhira	Vajhira	OUTFITS_TO_CHOOSE	00SI_Tamriel_OutfitBase_02
