SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	RACE	SEX	TINI	TINC	TINV	QNAM_WAS	QNAM_NOW	MAX_DELTA_255
02044172	04044172	ANQORCSlobbyGabsak	Slobby Gabsak	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
0201F878	0401F878	ANQRHRiverholdGuardPostNight02	Riverhold Guard	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02048B67	04048B67	ANQORCChewsOnRats	Chews-On-Rats	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
0201F87F	0401F87F	ANQRHRiverholdGuardPostDay03	Riverhold Guard	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02057F09	04057F09	ANQRHAzkhanTribesman01	Azkhan Tribesman	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0204CBF8	0404CBF8	ANQCORHaskara	Haskara	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020B4B38	040B4B38	ANQDUNSlagydaGromph	Slagada Gromph	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
020B5C3D	040B5C3D	ANQDUNJodasma	Jo'dasma	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020B5C46	040B5C46	ANQDUNVajirr	Vajirr	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020B5C4F	040B5C4F	ANQDUNFatama	Fatama	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020B6F24	040B6F24	ANQDUNHenriRoudeau	Henri Roudeau	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
020B6F2C	040B6F2C	ANQDUNCalenoora	Calenoora	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
020B9294	040B9294	ANQDUNJagan	Jagan	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
0204CBFD	0404CBFD	ANQCORDarothoHlenas	Darotho Hlenas	DarkElfRace	M	1	89,88,83	80	96,95,91	96,95,91	0
0208811E	0408811E	ANQSQ05ValenwoodScoutCaptain01	Valenwood Scout Captain	WoodElfRace	F	24	194,131,97	80	180,130,103	180,130,103	0
020588A6	040588A6	ANQORCOrcrestArcherOrcF03	Orcrest Archer	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
02088120	04088120	ANQSQ05ValenwoodScout01	Valenwood Scout	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
020588D2	040588D2	ANQORCOrcrestSoldierOrcM01	Orcrest Soldier	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
02088122	04088122	ANQSQ05ValenwoodScout02	Valenwood Scout	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
020588E7	040588E7	ANQORCOrcrestSoldierOrcM02	Orcrest Soldier	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
020BDFEC	040BDFEC	ANQDUNYarna	Yarna	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020588EA	040588EA	ANQORCOrcrestSoldierKhajiitM01	Orcrest Soldier	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020588EC	040588EC	ANQORCOrcrestSoldierKhajiitF01	Orcrest Soldier	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020588F1	040588F1	ANQORCOrcrestSoldierOrcF01	Orcrest Soldier	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
020593AE	040593AE	ANQORCOrcrestSoldierKhajiitM02	Orcrest Soldier	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020593B1	040593B1	ANQORCOrcrestSoldierOrcM03	Orcrest Soldier	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
020593B4	040593B4	ANQORCOrcrestSoldierOrcM04	Orcrest Soldier	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
020593BA	040593BA	ANQORCOrcrestSoldierOrcM05	Orcrest Soldier	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
020593C4	040593C4	ANQORCOrcrestArcherKhajiitF01	Orcrest Archer	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
02088125	04088125	ANQSQ05ValenwoodScout03	Valenwood Scout	WoodElfRace	F	24	194,131,97	80	180,130,103	180,130,103	0
02057F0A	04057F0A	ANQRHAzkhanTribeswoman01	Azkhan Tribeswoman	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
0208812F	0408812F	ANQTRBGbujewaClanMother	Gbujewa Clan Mother	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02088130	04088130	ANQTRBGbujewaTribesman01	Gbujewa Warrior	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02088131	04088131	ANQTRBGbujewaTribesman02	Gbujewa Warrior	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02088132	04088132	ANQTRBGbujewaTribesman03	Gbujewa Warrior	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02088133	04088133	ANQTRBGbujewaTribeswoman01	Gbujewa Tribeswoman	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0201C004	0401C004	ANQORCLaphkaGraLag	Laphka gra-Lag	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
0201C005	0401C005	ANQORCNamaSan	Nama San	RedguardRace	F	23	114,52,24	80	116,67,44	116,67,44	0
0201C006	0401C006	ANQORCDeveryPaurel	Devery Paurel	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0201C007	0401C007	ANQORCSunleyil	Sunleyil	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0201C008	0401C008	ANQORCAvonisSari	Avonis Sari	DarkElfRace	M	1	89,88,83	80	96,95,91	96,95,91	0
0201C009	0401C009	ANQORCThodradil	Thodradil	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0201C00A	0401C00A	ANQORCKoffuttoGroLag	Koffutto gro-Lag	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
0201C00B	0401C00B	ANQORCSlaabuGroOghdum	Slaabu gro-Oghdum	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
0201C00C	0401C00C	ANQORCChibasi	Chibasi	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0201C00D	0401C00D	ANQORCDroZhid	Dro'Zhid	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0201C022	0401C022	ANQORCAlicyaWhitelock	Alicya Whitelock	NordRace	F	24	230,155,134	80	209,149,132	209,149,132	0
02088134	04088134	ANQTRBGbujewaTribeswoman02	Gbujewa Tribeswoman	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
02088135	04088135	ANQTRBGbujewaTribeswoman03	Gbujewa Tribeswoman	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0202DF85	0402DF85	ANQRHInghajiTribesman01	Inghaji Tribesman	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02088B16	04088B16	ANQHG05DeadKhajiit	Dead Khajiit	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
0202DF86	0402DF86	ANQRHInghajiTribeswoman01	Inghaji Tribeswoman	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
0202DF89	0402DF89	ANQRHVeleucia	Veleucia	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0208B55A	0408B55A	ANQTRVTravellerM01	Traveller	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
0208B55B	0408B55B	ANQTRVTravellerM02	Traveller	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0208B55C	0408B55C	ANQTRVTravellerM03	Traveller	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0208B55D	0408B55D	ANQTRVPilgrimF01	Pilgrim	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0208B55E	0408B55E	ANQTRVPilgrimM01	Pilgrim	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0208B55F	0408B55F	ANQTRVPilgrimM02	Pilgrim	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
0202DF8C	0402DF8C	ANQRHDagokgroMolth	Dagok gro-Molth	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
0208B561	0408B561	ANQTRVMadProphetM01	Mad Doom Prophet	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020C56D7	040C56D7	ANQDUNTochka	Tochka	RedguardRace	F	23	114,52,24	80	116,67,44	116,67,44	0
0208B562	0408B562	ANQTRVMadProphetM02	Mad Doom Prophet	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020C56DE	040C56DE	ANQDUNRdozi	R'dozi	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0208B565	0408B565	ANQTRVHarvesterF01	Harvester	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
0208B567	0408B567	ANQTRVHarvesterF02	Harvester	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0208B568	0408B568	ANQTRVHarvesterF03	Harvester	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0208B569	0408B569	ANQTRVOldHagF01	Old Hag	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0208B56A	0408B56A	ANQTRVGoatherdM01	Goatherd	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0208B56B	0408B56B	ANQTRVGoatherdM02	Goatherd	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0208B56C	0408B56C	ANQTRVGoatherdM03	Goatherd	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0208B56D	0408B56D	ANQTRVTravellerF01	Traveller	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0208B56E	0408B56E	ANQTRVImperialLegionSoldier01	Imperial Legion Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0208B56F	0408B56F	ANQTRVImperialLegionSoldier02	Imperial Legion Soldier	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
020CC992	040CC992	ANQDUNGreenFootman01	Dune Soldier	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020CC993	040CC993	ANQDUNRedFootman01	Dune Soldier	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0208B570	0408B570	ANQTRVPeddlerM01	Peddler	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020CC9C1	040CC9C1	ANQDUNGreenBowman01	Dune Soldier	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
020CC9C2	040CC9C2	ANQDUNRedBowman01	Dune Soldier	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
020CD22E	040CD22E	ANQDUNGreenFootman02	Dune Soldier	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020CD22F	040CD22F	ANQDUNGreenFootman03	Dune Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020CD230	040CD230	ANQDUNGreenFootman04	Dune Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020CD231	040CD231	ANQDUNGreenFootman05	Dune Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020CD232	040CD232	ANQDUNGreenBowman02	Dune Soldier	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
020CD233	040CD233	ANQDUNGreenBowman03	Dune Soldier	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020CD234	040CD234	ANQDUNGreenBowman04	Dune Soldier	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020CD235	040CD235	ANQDUNRedBowman02	Dune Soldier	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
020CD236	040CD236	ANQDUNRedBowman03	Dune Soldier	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020CD237	040CD237	ANQDUNRedBowman04	Dune Soldier	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020CD238	040CD238	ANQDUNRedFootman02	Dune Soldier	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020CD239	040CD239	ANQDUNRedFootman03	Dune Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020CD23A	040CD23A	ANQDUNRedFootman04	Dune Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020CD23B	040CD23B	ANQDUNRedFootman05	Dune Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0208B571	0408B571	ANQTRVPeddlerF01	Peddler	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0201F880	0401F880	ANQRHRiverholdGuardPostNight03	Riverhold Guard	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
020206F3	040206F3	ANQRHRiverholdGuardPatrolDay01	Riverhold Guard	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0203136E	0403136E	ANQORCBrotherLapeo	Brother Lapeo	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0204ED7A	0404ED7A	ANQCORTynemwe	Tynemwe	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
0200C44D	0400C44D	ANQTRBDgazahbaTribesman01	Dgazahba Warrior	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0202E666	0402E666	ANQRHHdiji	H'diji the Doorman	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0208C62D	0408C62D	ANQTRVMinerM01	Miner	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0208C62E	0408C62E	ANQTRVMinerM02	Miner	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0202E66A	0402E66A	ANQRHTchala	T'chala the Songstress	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0202E66C	0402E66C	ANQRHPsharRmalakirr	P'shar R'malakirr	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0204F61F	0404F61F	ANQCORCommerceOfficeGuard	Commerce Office Guard	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020206F4	040206F4	ANQRHRiverholdGuardPatrolNight01	Riverhold Guard	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02020FC4	04020FC4	ANQBRKRarassa	Rarassa the Goatkeep	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020228A1	040228A1	ANQBRKZahraji	Zahraji	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020228AB	040228AB	ANQBRKLutasma	Lutasma	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0202E670	0402E670	ANQRHToran	Toran	BretonRace	M	2	225,161,115	80	205,154,117	205,154,117	0
0202ED46	0402ED46	ANQRHLomasa	Lomasa	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020AE4B6	040AE4B6	ANQCORCorinthePalaceGuardZdastari	Corinthe Palace Guard	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02024927	04024927	ANQDNCEatsFishEyes	Eats-Fish-Eyes	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
02046E44	04046E44	ANQCORPsharDroMalakad	P'shar Dro'Malakad	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020478DC	040478DC	ANQCORCorinthePalaceGuardAbtanjana	Corinthe Palace Guard	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02020A5F	04020A5F	ANQRHDeadKhajiit	Dead Khajiit	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0202492E	0402492E	ANQORCDancesInSand	Dances-In-Sand	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
02097ED8	04097ED8	ANQORCOrcrestArcherOrcF01	Orcrest Archer	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
02097EDA	04097EDA	ANQORCOrcrestArcherOrcF02	Orcrest Archer	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
02099070	04099070	ANQSQ02BhorlarzAvenger01	Ubal gro-Yambak	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
0203884E	0403884E	ANQSQ11Moshi	Moshi	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02099071	04099071	ANQSQ02BhorlarzAvenger02	Ugarka dra-Labag	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
02099076	04099076	ANQORCFalargadraSharka	Falarga dra-Sharka	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
020522CF	040522CF	ANQCORQuaji	Quaji	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02025417	04025417	ANQDNCHadutsei	Hadutsei	ArgonianRace	F	16	81,64,40	80	90,76,57	90,76,57	0
02025419	04025419	ANQDNCTaRaazi	Ta'Raazi	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02057670	04057670	ANQCORPulliaSybatis	Pullia Sybatis	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02057673	04057673	ANQCORYsamirr	Y'samirr	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02057ECD	04057ECD	ANQCORMatasmar	Matasmar	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0202FB02	0402FB02	ANQRHYahsi	Yahsi the Barkeep	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02011616	04011616	ANQORCBrokumSharzog	Brokum Sharzog	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
02011618	04011618	ANQORCRogda	Rogda the Witch	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
0201161C	0401161C	ANQORCZabobgroDorg	Zabob gro-Dorg	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
0201161E	0401161E	ANQORCMangySjar	Mangy Sjar	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02011620	04011620	ANQORCFodon	Fodon the Tall	NordRace	M	1	235,159,140	80	213,152,137	213,152,137	0
020235B8	040235B8	ANQCORDungeonMadman01	Bosmer Madman	WoodElfRace	M	1	199,135,102	80	184,133,107	184,133,107	0
0201162C	0401162C	ANQORCEloineBrigette	Eloine Brigette	BretonRace	F	16	220,156,109	80	201,150,112	201,150,112	0
0203BC88	0403BC88	ANQDNCGretje	Gretje	NordRace	F	24	230,155,134	80	209,149,132	209,149,132	0
02024254	04024254	ANQCORDungeonCannibal02	Cannibal	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02024259	04024259	ANQCORDungeonCannibal01	Cannibal	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0202425D	0402425D	ANQCORDungeonCannibal03	Cannibal	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0205C0B7	0405C0B7	ANQCORShotherr	Shotherr	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0205C145	0405C145	ANQCORProphetKsharra	Prophet of K'sharra	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0201162F	0401162F	ANQORCVaenenDres	Vaenen Dres	DarkElfRace	F	24	84,84,78	80	92,92,87	92,92,87	0
02011635	04011635	ANQORCBugdala	Bugdala	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
02011638	04011638	ANQORCDornagraMorok	Dorna gra-Morok	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
020A2800	040A2800	ANQLGNVestiaLaurentia	Vestia Laurentia	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020A2804	040A2804	ANQLGNMarcusPaulinius	Marcus Paulinius	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0201163C	0401163C	ANQALBJelunuun	Jelunuun	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
02011640	04011640	ANQORCMensal	Mensal	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
02011642	04011642	ANQORCNirasja	Nirasja	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02011651	04011651	ANQORCDulphoggroNaybek	Dulphog gro-Naybek	OrcRace	M	1	103,111,45	80	107,114,61	107,114,61	0
02011653	04011653	ANQORCSlave01	Khajiit Slavegirl	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020A741B	040A741B	ANQCORChaeVarseu	Chae-Varseu	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02011655	04011655	ANQORCSlave02	Khajiit Slave	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020A848E	040A848E	ANQRHHnassa	H'nassa	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02011658	04011658	ANQORCSlave03	Khajiit Slavegirl	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
0201165A	0401165A	ANQORCSlave04	Khajiit Slave	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0201165E	0401165E	ANQORCSlave05	Khajiit Slavegirl	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
020120C5	040120C5	ANQKNGHilde	Hilde the Fair	NordRace	F	24	230,155,134	80	209,149,132	209,149,132	0
02012A0B	04012A0B	ANQKNGBuccioNorbanus	Buccio Norbanus	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02030915	04030915	ANQCORDungeonSkullSwinger	Skull-Swinger	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02012A11	04012A11	ANQKNGLyraNorbanus	Lyra Norbanus	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02012A13	04012A13	ANQKNGBahdzirr	Bahdzirr	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020A9E78	040A9E78	ANQLGNLegionSoldierSeaplace01	Imperial Legion Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020A9E79	040A9E79	ANQLGNLegionSoldierSeaplace02	Imperial Legion Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020A9E7A	040A9E7A	ANQLGNLegionSoldierSeaplace03	Imperial Legion Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0204F134	0404F134	ANQCORMaSrikah	Ma'Srikah	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0204FADC	0404FADC	ANQCORCorinthePalaceGuardHall01	Corinthe Palace Guard	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
0204FAE2	0404FAE2	ANQCORCorinthePalaceGuardHall02	Corinthe Palace Guard	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
0204FAEA	0404FAEA	ANQCORPsharRaSaqida	P'shar Ra'Saqida	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
020A9E7B	040A9E7B	ANQLGNLegionSoldierSeaplace04	Imperial Legion Soldier	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020A9E80	040A9E80	ANQLGNHirsidiusAllentus	Hirsidius Allentus	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020A9E82	040A9E82	ANQLGNRhabus	Rhabus Stablemaster	RedguardRace	M	1	119,56,30	80	120,70,49	120,70,49	0
0203FF62	0403FF62	ANQDUNZedelGwa	Zedel-Gwa	ArgonianRace	M	38	101,56,33	80	106,70,51	106,70,51	0
0203FF67	0403FF67	ANQDUNSabrusha	Sabrusha	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020541CD	040541CD	ANQCORAbradissi	Abradissi	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020A9E84	040A9E84	ANQLGNMuniciaBellisarius	Municia Bellisarius	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
020428AD	040428AD	ANQCORArchmageKreion	Archmage Kreion	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
0204311A	0404311A	ANQDUNAhdni	Ahdni	KhajiitRace	F	4	184,131,76	80	172,130,86	172,130,86	0
0204311D	0404311D	ANQDUNJDiwa	J'Diwa	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02062BE9	04062BE9	ANQCORGlyciaFulgentius	Glycia Fulgentius	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02063CC0	04063CC0	ANQCORMeraendil	Meraendil	HighElfRace	F	24	208,176,73	80	191,166,83	191,166,83	0
02063CC1	04063CC1	ANQCORMaerendil	Maerendil	HighElfRace	M	1	213,180,78	80	195,169,87	195,169,87	0
02012A19	04012A19	ANQORCUbaashi	Ubaashi	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02043126	04043126	ANQDUNRiThibb	Ri'Thibb	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02020DEB	04020DEB	ANQRHRiverholdGuardPatrolDay02	Riverhold Guard	ImperialRace	F	13	182,112,70	80	171,115,81	171,115,81	0
02012A1E	04012A1E	ANQKNGShabkagraDulfum	Shabka gra-Dulfum	OrcRace	F	13	100,108,44	80	105,111,60	105,111,60	0
0206564D	0406564D	ANQCORBaroFulgentius	Baro Fulgentius	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
02067817	04067817	ANQCOROldKharzu	Old Kharzu	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
020324F4	040324F4	ANQRHRiverholdThug01	Renrijra Krin Runner	KhajiitRace	M	1	189,124,58	80	176,124,71	176,124,71	0
02017D06	04017D06	ANQALBSmasirri	Smasirri	ImperialRace	M	1	187,117,75	80	175,119,85	175,119,85	0
