SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	SEX	HAIR	HL
0200F48F	0400F48F	ANQCaravanMerchant1	Caravan Merchant	M	0Victor	0VictorHL
0200F4A1	0400F4A1	ANQCaravanMerchant3	Caravan Merchant	M	0TheTruth	0TheTruthHL
0200FCE0	0400FCE0	ANQORCOrcrestGuardPostDay01	Orcrest Guard	M	0Theo	0TheoHL
0200FCE1	0400FCE1	ANQORCOrcrestGuardPostNight01	Orcrest Guard	M	0TheTruth	0TheTruthHL
0200FCE4	0400FCE4	ANQORCOrcrestGuardPostDay02	Orcrest Guard	M	0Theo	0TheoHL
0200FCE5	0400FCE5	ANQORCOrcrestGuardPostDay03	Orcrest Guard	M	0Theo	0TheoHL
0200FCE6	0400FCE6	ANQORCOrcrestGuardPostNight02	Orcrest Guard	M	0TheTruth	0TheTruthHL
0200FCE7	0400FCE7	ANQORCOrcrestGuardPostNight03	Orcrest Guard	M	0RedRobin	0RedRobinHL
0200FCF1	0400FCF1	ANQCORCorintheGuardPostDay02	Corinthe Guard	F	0Laurell	0LaurellHL
0200FCF2	0400FCF2	ANQCORCorintheGuardPostDay03	Corinthe Guard	M	0RedRobin	0RedRobinHL
0200FCF3	0400FCF3	ANQCORCorintheGuardPostNight01	Corinthe Guard	M	0TheTruth	0TheTruthHL
0200FCF5	0400FCF5	ANQCORCorintheGuardPostNight03	Corinthe Guard	F	0Koala	0KoalaHL
0200FE1E	0400FE1E	ANQTRBAzkhanWarChief	Azkhan War Chief	M	0Theo	0TheoHL
020105AB	040105AB	ANQDUNDuneGuardPostDay01	Dune Guard	M	0TheTruth	0TheTruthHL
020105EC	040105EC	ANQDUNDuneGuardPostDay02	Dune Guard	F	0Lenore	0LenoreHL
020105ED	040105ED	ANQDUNDuneGuardPostNight02	Dune Guard	M	0Victor	0VictorHL
02011616	04011616	ANQORCBrokumSharzog	Brokum Sharzog	M	0RedRobin	0RedRobinHL
02011618	04011618	ANQORCRogda	Rogda the Witch	F	0Lamb	0LambHL
0201161C	0401161C	ANQORCZabobgroDorg	Zabob gro-Dorg	M	0Victor	0VictorHL
02011620	04011620	ANQORCFodon	Fodon the Tall	M	0Theo	0TheoHL
0201162C	0401162C	ANQORCEloineBrigette	Eloine Brigette	F	0Lamb	0LambHL
0201162F	0401162F	ANQORCVaenenDres	Vaenen Dres	F	0Laurell	0LaurellHL
02011635	04011635	ANQORCBugdala	Bugdala	F	0Leona	0LeonaHL
02011638	04011638	ANQORCDornagraMorok	Dorna gra-Morok	F	0Lenore	0LenoreHL
0201163D	0401163D	ANQTRBAzkhanTribeswoman01	Azkhan Tribeswoman	F	0Lamb	0LambHL
02011640	04011640	ANQORCMensal	Mensal	M	0RedRobin	0RedRobinHL
02011642	04011642	ANQORCNirasja	Nirasja	F	0Lamb	0LambHL
02011645	04011645	ANQTRBAzkhanTribeswoman03	Azkhan Tribeswoman	F	0Koala	0KoalaHL
02011651	04011651	ANQORCDulphoggroNaybek	Dulphog gro-Naybek	M	0Victor	0VictorHL
02011653	04011653	ANQORCSlave01	Khajiit Slavegirl	F	0Leona	0LeonaHL
02011658	04011658	ANQORCSlave03	Khajiit Slavegirl	F	0Lamb	0LambHL
0201165A	0401165A	ANQORCSlave04	Khajiit Slave	M	0Victor	0VictorHL
0201179E	0401179E	ANQKNGKingsWalkGuardPostDay01	Caravanserie Guard	M	0RedRobin	0RedRobinHL
020120C5	040120C5	ANQKNGHilde	Hilde the Fair	F	0Lamb	0LambHL
020121D7	040121D7	ANQDUNMgada	Mgada the Wise	F	0Lamb	0LambHL
02012540	04012540	ANQDNCRoelof	Roelof	M	0Theo	0TheoHL
02012A0B	04012A0B	ANQKNGBuccioNorbanus	Buccio Norbanus	M	0RedRobin	0RedRobinHL
02012A11	04012A11	ANQKNGLyraNorbanus	Lyra Norbanus	F	0Lenore	0LenoreHL
02012A13	04012A13	ANQKNGBahdzirr	Bahdzirr	M	0Theo	0TheoHL
02012A19	04012A19	ANQORCUbaashi	Ubaashi	M	0Theo	0TheoHL
02012A1E	04012A1E	ANQKNGShabkagraDulfum	Shabka gra-Dulfum	F	0Laurell	0LaurellHL
02014D79	04014D79	ANQRHWajiq	Wajiq	M	0Theo	0TheoHL
02014F4E	04014F4E	ANQSQ05ValenwoodArcher01	Valenwood Soldier	M	0TheTruth	0TheTruthHL
02014F51	04014F51	ANQSQ05ValenwoodArcher02	Valenwood Soldier	F	0Lamb	0LambHL
02014F53	04014F53	ANQSQ05ValenwoodCaptain01	Valenwood Captain	M	0TheTruth	0TheTruthHL
02014F56	04014F56	ANQSQ05ValenwoodSoldier01	Valenwood Soldier	M	0RedRobin	0RedRobinHL
02015399	04015399	ANQRHCelithia	Celithia	F	0Lamb	0LambHL
020153AA	040153AA	ANQRHNasiusDio	Nasius Dio	M	0Theo	0TheoHL
02015A9E	04015A9E	ANQRHCorneliaDio	Cornelia Dio	F	0Lenore	0LenoreHL
02015B8C	04015B8C	ANQCORAshisha	Ashisha	F	0Koala	0KoalaHL
02015CD5	04015CD5	ANQCORGalwen	Galwen	M	0Victor	0VictorHL
02015DF2	04015DF2	ANQDNCMuraggraLazgarn	Murag gra-Lazgarn	F	0Koala	0KoalaHL
02015DF5	04015DF5	ANQRenrijraKrinRunner02	Renrijra Krin Runner	M	0Victor	0VictorHL
02015DF7	04015DF7	ANQRenrijraKrinRunner03	Renrijra Krin Runner	M	0TheTruth	0TheTruthHL
02015DF9	04015DF9	ANQRenrijraKrinRunner04	Renrijra Krin Runner	F	0Leona	0LeonaHL
02015DFB	04015DFB	ANQRenrijraKrinRunner05	Renrijra Krin Runner	F	0Lenore	0LenoreHL
02015ECB	04015ECB	ANQCORJinsiraga	Jinsiraga	F	0Laurell	0LaurellHL
0201664F	0401664F	ANQSQ02GrauushBonekeeper	Gra-uush Bonekeeper	M	0TheTruth	0TheTruthHL
020166C5	040166C5	ANQSQ09MadukLairBandit01	Bandit	M	0Victor	0VictorHL
02017D06	04017D06	ANQALBSmasirri	Smasirri	M	0TheTruth	0TheTruthHL
02017D0E	04017D0E	ANQALBLamdumaji	Lamdumaji	M	0Theo	0TheoHL
02017D12	04017D12	ANQALBHaerdica	Haerdica	F	0Lenore	0LenoreHL
02017D14	04017D14	ANQALBRaskiri	Raskiri	M	0RedRobin	0RedRobinHL
02018B69	04018B69	ANQMISCAgamanusPriest01	Priest of Agamanus	M	0Victor	0VictorHL
02018B6B	04018B6B	ANQMISCAgamanusPriest02	Priest of Agamanus	M	0TheTruth	0TheTruthHL
020193C0	040193C0	ANQCORNahdvirr	Nahdvirr	M	0RedRobin	0RedRobinHL
02019583	04019583	ANQCORFloressaDeMoer	Floressa de Moer	F	0Laurell	0LaurellHL
02019678	04019678	ANQDNCNisaba	Nisaba	F	0Leona	0LeonaHL
02019686	04019686	ANQDNCNahabirr	Nahabirr	M	0Theo	0TheoHL
0201A186	0401A186	ANQCORGhostTsanja	Ghost of Tsanja	F	0Laurell	0LaurellHL
0201AD98	0401AD98	ANQCORClabusPortius	Clabus Portius	M	0TheTruth	0TheTruthHL
0201ADA1	0401ADA1	ANQBRKLibiaBeltaire	Libia Beltaire	F	0Leona	0LeonaHL
0201ADB6	0401ADB6	ANQBRKWibbums	Wibbums	M	0TheTruth	0TheTruthHL
0201ADBA	0401ADBA	ANQBRKSnuggles	Snuggles	M	0TheTruth	0TheTruthHL
0201B7CF	0401B7CF	ANQCORSdarasgari	S'darasgari	M	0Theo	0TheoHL
0201B7E1	0401B7E1	ANQRHLucDemers	Luc Demers	M	0Theo	0TheoHL
0201B7E4	0401B7E4	ANQRHLovrynTherano	Lovryn Therano	M	0Theo	0TheoHL
0201C004	0401C004	ANQORCLaphkaGraLag	Laphka gra-Lag	F	0Lamb	0LambHL
0201C005	0401C005	ANQORCNamaSan	Nama San	F	0Lenore	0LenoreHL
0201C006	0401C006	ANQORCDeveryPaurel	Devery Paurel	M	0TheTruth	0TheTruthHL
0201C007	0401C007	ANQORCSunleyil	Sunleyil	M	0Victor	0VictorHL
0201C008	0401C008	ANQORCAvonisSari	Avonis Sari	M	0TheTruth	0TheTruthHL
0201C009	0401C009	ANQORCThodradil	Thodradil	M	0Theo	0TheoHL
0201C00A	0401C00A	ANQORCKoffuttoGroLag	Koffutto gro-Lag	M	0Theo	0TheoHL
0201C00B	0401C00B	ANQORCSlaabuGroOghdum	Slaabu gro-Oghdum	M	0RedRobin	0RedRobinHL
0201C00D	0401C00D	ANQORCDroZhid	Dro'Zhid	M	0RedRobin	0RedRobinHL
0201C022	0401C022	ANQORCAlicyaWhitelock	Alicya Whitelock	F	0Lenore	0LenoreHL
0201C0F2	0401C0F2	ANQRHRiverholdGuardPostNight01	Riverhold Guard	M	0TheTruth	0TheTruthHL
0201EDBF	0401EDBF	ANQRHJoRasma	Jo'Rasma	F	0Lamb	0LambHL
0201F509	0401F509	ANQRHJoFaraq	Jo'Faraq	M	0RedRobin	0RedRobinHL
0201F877	0401F877	ANQRHRiverholdGuardPostDay02	Riverhold Guard	M	0RedRobin	0RedRobinHL
0201F878	0401F878	ANQRHRiverholdGuardPostNight02	Riverhold Guard	M	0TheTruth	0TheTruthHL
0201F87F	0401F87F	ANQRHRiverholdGuardPostDay03	Riverhold Guard	F	0Leona	0LeonaHL
0201FFF8	0401FFF8	ANQBanditHighwayman01	The Friendly Highwayman	M	0Theo	0TheoHL
02020370	04020370	ANQCORJaRisha	Ja'Risha	F	0Laurell	0LaurellHL
02020450	04020450	ANQCORIulusTarpenius	Iulus Tarpenius	M	0TheTruth	0TheTruthHL
020206F3	040206F3	ANQRHRiverholdGuardPatrolDay01	Riverhold Guard	M	0RedRobin	0RedRobinHL
020208D1	040208D1	ANQSQ04DeadChild	Dead Boy	M	0Theo	0TheoHL
02020DEB	04020DEB	ANQRHRiverholdGuardPatrolDay02	Riverhold Guard	F	0Leona	0LeonaHL
02020DEC	04020DEC	ANQRHRiverholdGuardPatrolNight02	Riverhold Guard	F	0Leona	0LeonaHL
02020FC4	04020FC4	ANQBRKRarassa	Rarassa the Goatkeep	M	0TheTruth	0TheTruthHL
0202137D	0402137D	ANQDNCAlado	Alado	M	0Theo	0TheoHL
02021381	04021381	ANQDNCDavrick	Davrick	M	0Victor	0VictorHL
02021385	04021385	ANQMISCAgamanusPriest03	Priest of Agamanus	M	0RedRobin	0RedRobinHL
02021389	04021389	ANQDNCMansaba	Mansaba	F	0Leona	0LeonaHL
0202138B	0402138B	ANQCORUbalama	Ubalama	F	0Lamb	0LambHL
020218FE	040218FE	ANQCORCaecaRatTongue	Caeca Rat-Tongue	F	0Koala	0KoalaHL
02021902	04021902	ANQCORScabSkinHaraj	Scab-skin Haraj	M	0TheTruth	0TheTruthHL
0202219D	0402219D	ANQCORAzhaba	Azhaba	F	0Laurell	0LaurellHL
0202219F	0402219F	ANQCORNarinaPortius	Narina Portius	F	0Lamb	0LambHL
020221A1	040221A1	ANQCORHagulDroMagrush	Hagul dro-Magrush	M	0Victor	0VictorHL
020221A3	040221A3	ANQCORWilrick	Wilrick	M	0Victor	0VictorHL
020228A1	040228A1	ANQBRKZahraji	Zahraji	M	0Theo	0TheoHL
020228AB	040228AB	ANQBRKLutasma	Lutasma	F	0Koala	0KoalaHL
02022EB0	04022EB0	ANQCORCorintheGuardPatrolDay01	Corinthe Guard	F	0Laurell	0LaurellHL
02022EB4	04022EB4	ANQCORCorintheGuardPatrolNight01	Corinthe Guard	M	0TheTruth	0TheTruthHL
020231D6	040231D6	ANQCOROgradroBadrak	Ogra dro-Badrak	F	0Leona	0LeonaHL
020235B8	040235B8	ANQCORDungeonMadman01	Bosmer Madman	M	0TheTruth	0TheTruthHL
02023996	04023996	ANQCORGuidodeMoer	Guido de Moer	M	0Victor	0VictorHL
02024254	04024254	ANQCORDungeonCannibal02	Cannibal	M	0TheTruth	0TheTruthHL
02024259	04024259	ANQCORDungeonCannibal01	Cannibal	M	0RedRobin	0RedRobinHL
0202425D	0402425D	ANQCORDungeonCannibal03	Cannibal	M	0Victor	0VictorHL
020247DD	040247DD	ANQCOREvadeMoer	Eva de Moer	F	0Leona	0LeonaHL
020247E6	040247E6	ANQCORHzahbi	Hzahbi	M	0RedRobin	0RedRobinHL
0202DF89	0402DF89	ANQRHVeleucia	Veleucia	F	0Lamb	0LambHL
0202DF8C	0402DF8C	ANQRHDagokgroMolth	Dagok gro-Molth	M	0RedRobin	0RedRobinHL
0202E52F	0402E52F	ANQCORJolana	Jolana	F	0Laurell	0LaurellHL
0202E66A	0402E66A	ANQRHTchala	T'chala the Songstress	F	0Leona	0LeonaHL
0202E670	0402E670	ANQRHToran	Toran	M	0RedRobin	0RedRobinHL
0202ED46	0402ED46	ANQRHLomasa	Lomasa	F	0Leona	0LeonaHL
0202FB02	0402FB02	ANQRHYahsi	Yahsi the Barkeep	M	0RedRobin	0RedRobinHL
0203136E	0403136E	ANQORCBrotherLapeo	Brother Lapeo	M	0Victor	0VictorHL
020327B5	040327B5	ANQMNIdhassi	High Priestess Idhassi	F	0Laurell	0LaurellHL
020327B8	040327B8	ANQMNMShaani	Priestess M'Shaani	F	0Laurell	0LaurellHL
020327BC	040327BC	ANQMNJjarsa	Priestess J'Jarsa	F	0Lenore	0LenoreHL
020327C3	040327C3	ANQMNBahdani	Acolyte Bahdani	F	0Laurell	0LaurellHL
02032B3F	04032B3F	ANQORCAnakgroMorok	Anak gro-Morok	M	0TheTruth	0TheTruthHL
02033416	04033416	ANQORCDinhcara	Dinh'cara	F	0Laurell	0LaurellHL
0203341D	0403341D	ANQORCSalaunBrigette	Salaun Brigette	M	0RedRobin	0RedRobinHL
02033C17	04033C17	ANQTRBDgazahbaClanMother	Dgazehba Clan Mother	F	0Lamb	0LambHL
02033CAC	04033CAC	ANQCORAdrenSovalu	Adren Sovalu	M	0TheTruth	0TheTruthHL
02033CAF	04033CAF	ANQCORLlaveraSovalu	Llavera Sovalu	F	0Leona	0LeonaHL
0203464D	0403464D	ANQTRBAzkhanTribesman03	Azkhan Warrior	M	0Victor	0VictorHL
02034650	04034650	ANQTRBDgazahbaTribesman03	Dgazahba Warrior	M	0Theo	0TheoHL
02034655	04034655	ANQTRBDgazahbaTribesman02	Dgazahba Warrior	M	0TheTruth	0TheTruthHL
02034658	04034658	ANQTRBGbujewaWarChief	Gbujewa War Chief	M	0Victor	0VictorHL
0203465C	0403465C	ANQTRBDgazahbaTribeswoman01	Dgazahba Tribeswoman	F	0Lamb	0LambHL
0203466E	0403466E	ANQTRBAzkhanTribesman01	Azkhan Warrior	M	0RedRobin	0RedRobinHL
02034EF0	04034EF0	ANQORCMaHaffi	Ma'Haffi	M	0Theo	0TheoHL
020350D0	040350D0	ANQTRBDgazahbaTribeswoman03	Dgazahba Tribeswoman	F	0Koala	0KoalaHL
020350D2	040350D2	ANQTRBAzkhanClanMother	Azkhan Clan Mother	F	0Laurell	0LaurellHL
020365E7	040365E7	ANQSQ09DarshgraMaduk	Darsh gra-Maduk	F	0Lenore	0LenoreHL
02036ABD	04036ABD	ANQORCLurgogroHadagh	Lurgo gro-Hadagh	M	0Victor	0VictorHL
02036AC6	04036AC6	ANQORCTkajeja	T'kajeja	F	0Laurell	0LaurellHL
02036ACE	04036ACE	ANQORCInyel	Inyel	M	0Victor	0VictorHL
02037289	04037289	ANQCORSlaveKhamuzi	Khamuzi	F	0Lenore	0LenoreHL
0203728E	0403728E	ANQCORSlaveSholani	Sholani	M	0Theo	0TheoHL
02037294	04037294	ANQCORTsambadi	Lampkeeper Tsambadi	F	0Koala	0KoalaHL
02037CF7	04037CF7	ANQORCOyakhaSharzog	Oyakha Sharzog	F	0Lenore	0LenoreHL
02037DDC	04037DDC	ANQCORLadon	Ladon	M	0RedRobin	0RedRobinHL
0203884E	0403884E	ANQSQ11Moshi	Moshi	M	0TheTruth	0TheTruthHL
02038BFE	04038BFE	ANQORCStatillaCarauda	Statilla Carauda	F	0Lamb	0LambHL
02038DB7	04038DB7	ANQBRKImperialLegionSoldierInnDarkarn	Imperial Legion Soldier	M	0Theo	0TheoHL
0203BC35	0403BC35	ANQRHTylaena	Tylaena	F	0Lenore	0LenoreHL
0203BC88	0403BC88	ANQDNCGretje	Gretje	F	0Lamb	0LambHL
0203C8A9	0403C8A9	ANQCORVrydgartheBrazen	Vrydgar the Brazen	M	0Theo	0TheoHL
0203C8B7	0403C8B7	ANQCORIngaLooseLegs	Inga Loose-Legs	F	0Koala	0KoalaHL
0203C923	0403C923	ANQORCHidrak	Hidrak the Witch	F	0Koala	0KoalaHL
0203C931	0403C931	ANQORCGarlag	Garlag the Witch	F	0Leona	0LeonaHL
0203D349	0403D349	ANQCORMarahd	Marahd	M	0Theo	0TheoHL
0203D34E	0403D34E	ANQCORSnarriva	Snarriva	F	0Laurell	0LaurellHL
0203FF67	0403FF67	ANQDUNSabrusha	Sabrusha	F	0Laurell	0LaurellHL
020417AD	040417AD	ANQCORShedzana	Shedzana	F	0Lamb	0LambHL
020428AD	040428AD	ANQCORArchmageKreion	Archmage Kreion	M	0TheTruth	0TheTruthHL
02043126	04043126	ANQDUNRiThibb	Ri'Thibb	M	0TheTruth	0TheTruthHL
0204388E	0404388E	ANQCORPsharAbtanjana	P'shar Abtanjana	F	0Lamb	0LambHL
02044172	04044172	ANQORCSlobbyGabsak	Slobby Gabsak	M	0Theo	0TheoHL
02045B0C	04045B0C	ANQCORSayadra	Sayadra	F	0Koala	0KoalaHL
02045B0D	04045B0D	ANQCORLorrieneTarelle	Lorriene Tarelle	F	0Leona	0LeonaHL
02045B0E	04045B0E	ANQCORRaevusPalenix	Raevus Palenix	M	0RedRobin	0RedRobinHL
020464AC	040464AC	ANQCORDhajamuli	Dhajamuli	M	0RedRobin	0RedRobinHL
02046E44	04046E44	ANQCORPsharDroMalakad	P'shar Dro'Malakad	M	0Victor	0VictorHL
02048EC0	04048EC0	ANQCORCorinthePalaceGuardPostDay01	Corinthe Palace Guard	M	0Victor	0VictorHL
02048EC2	04048EC2	ANQCORCorinthePalaceGuardPostDay02	Corinthe Palace Guard	F	0Lamb	0LambHL
02049759	04049759	ANQCORCorinthePalaceGuardPostDay03	Corinthe Palace Guard	M	0TheTruth	0TheTruthHL
02049FC8	04049FC8	ANQCORCorinthePalaceGuardPostDay04	Corinthe Palace Guard	M	0RedRobin	0RedRobinHL
0204A4EB	0404A4EB	ANQDUNZayiqCherim	Zayiq Cherim	M	0Victor	0VictorHL
0204A859	0404A859	ANQCORImperialLegionSoldier01	Imperial Legion Soldier	M	0Theo	0TheoHL
0204A85B	0404A85B	ANQCORImperialLegionSoldier02	Imperial Legion Soldier	F	0Lenore	0LenoreHL
0204B09C	0404B09C	ANQCORPsharZdastari	P'shar Z'dastari	F	0Laurell	0LaurellHL
0204B1C6	0404B1C6	ANQBRKDeadSquishy	Dead Squishy	M	0RedRobin	0RedRobinHL
0204B750	0404B750	ANQORCHorobok	Horobok Ox-Keeper	M	0Victor	0VictorHL
0204BA69	0404BA69	ANQBRKDeadTickles	Tickles	F	0Leona	0LeonaHL
0204CBF8	0404CBF8	ANQCORHaskara	Haskara	F	0Koala	0KoalaHL
0204CBFD	0404CBFD	ANQCORDarothoHlenas	Darotho Hlenas	M	0Theo	0TheoHL
0204E5C7	0404E5C7	ANQRHRiverholdJailor	Riverhold Jailor	M	0Victor	0VictorHL
0204ED7A	0404ED7A	ANQCORTynemwe	Tynemwe	F	0Koala	0KoalaHL
0204F61F	0404F61F	ANQCORCommerceOfficeGuard	Commerce Office Guard	M	0TheTruth	0TheTruthHL
0204FAE2	0404FAE2	ANQCORCorinthePalaceGuardHall02	Corinthe Palace Guard	M	0RedRobin	0RedRobinHL
02051D31	04051D31	ANQDUNKiraskiri	Kiraskiri	M	0Victor	0VictorHL
02051D9D	04051D9D	ANQRHRhadmani	Lampkeeper Rhadmani	M	0Theo	0TheoHL
02051D9F	04051D9F	ANQRHDgazahbiTribeswoman01	Dgazahbi Tribeswoman	F	0Koala	0KoalaHL
020522CF	040522CF	ANQCORQuaji	Quaji	M	0TheTruth	0TheTruthHL
020541CD	040541CD	ANQCORAbradissi	Abradissi	M	0Victor	0VictorHL
02054944	04054944	ANQORCOrcrestPalaceGuard01	Orcrest Palace Guard	M	0Victor	0VictorHL
02054945	04054945	ANQORCOrcrestPalaceGuard02	Orcrest Palace Guard	M	0TheTruth	0TheTruthHL
02054946	04054946	ANQORCOrcrestPalaceGuard03	Orcrest Palace Guard	M	0Theo	0TheoHL
02054947	04054947	ANQORCOrcrestPalaceGuard04	Orcrest Palace Guard	M	0RedRobin	0RedRobinHL
020551C3	040551C3	ANQORCGrandVizierMaZahn	Grand Vizier Ma'Zahn	M	0Victor	0VictorHL
020551C9	040551C9	ANQORCHakshala	Hakshala	F	0Koala	0KoalaHL
020551CC	040551CC	ANQORCHergdolg	Hergdolg	M	0TheTruth	0TheTruthHL
020551CF	040551CF	ANQORCJMada	J'Mada	M	0RedRobin	0RedRobinHL
02057670	04057670	ANQCORPulliaSybatis	Pullia Sybatis	F	0Leona	0LeonaHL
02057673	04057673	ANQCORYsamirr	Y'samirr	M	0TheTruth	0TheTruthHL
02057F08	04057F08	ANQRHShomdroMagrok	Shom dro-Magrok	M	0RedRobin	0RedRobinHL
02057F09	04057F09	ANQRHAzkhanTribesman01	Azkhan Tribesman	M	0TheTruth	0TheTruthHL
02057F0B	04057F0B	ANQRHBenrick	Benrick	M	0Victor	0VictorHL
02057F0C	04057F0C	ANQRHJliqa	J'liqa	F	0Lamb	0LambHL
020588A6	040588A6	ANQORCOrcrestArcherOrcF03	Orcrest Archer	F	0Laurell	0LaurellHL
020588D2	040588D2	ANQORCOrcrestSoldierOrcM01	Orcrest Soldier	M	0Theo	0TheoHL
020588E7	040588E7	ANQORCOrcrestSoldierOrcM02	Orcrest Soldier	M	0RedRobin	0RedRobinHL
020588EC	040588EC	ANQORCOrcrestSoldierKhajiitF01	Orcrest Soldier	F	0Leona	0LeonaHL
020588F1	040588F1	ANQORCOrcrestSoldierOrcF01	Orcrest Soldier	F	0Lenore	0LenoreHL
020593B1	040593B1	ANQORCOrcrestSoldierOrcM03	Orcrest Soldier	M	0RedRobin	0RedRobinHL
020593B4	040593B4	ANQORCOrcrestSoldierOrcM04	Orcrest Soldier	M	0Theo	0TheoHL
020593BA	040593BA	ANQORCOrcrestSoldierOrcM05	Orcrest Soldier	M	0RedRobin	0RedRobinHL
0205AE0F	0405AE0F	ANQCORDungeonPrisonerBandit05M	Prisoner	M	0RedRobin	0RedRobinHL
0205AE12	0405AE12	ANQCORDungeonPrisonerBandit03M	Prisoner	M	0Victor	0VictorHL
0205AE13	0405AE13	ANQCORDungeonPrisonerBandit04M	Prisoner	M	0TheTruth	0TheTruthHL
0205AE16	0405AE16	ANQCORDungeonPrisonerMarauder03M	Prisoner	M	0TheTruth	0TheTruthHL
0205AE17	0405AE17	ANQCORDungeonPrisonerMarauder02M	Prisoner	M	0RedRobin	0RedRobinHL
0205AE18	0405AE18	ANQCORDungeonPrisonerMarauder04M	Prisoner	M	0TheTruth	0TheTruthHL
0205AEF3	0405AEF3	ANQKNGElephantSeller	G'nyassa	F	0Lamb	0LambHL
0205AEF5	0405AEF5	ANQKNGElephantKeeper	Maduk	M	0Theo	0TheoHL
0205C0B7	0405C0B7	ANQCORShotherr	Shotherr	M	0Victor	0VictorHL
0205C145	0405C145	ANQCORProphetKsharra	Prophet of K'sharra	M	0RedRobin	0RedRobinHL
0205C251	0405C251	ANQCORDungeonBahdpura	Bahdpura	M	0TheTruth	0TheTruthHL
02060FF8	04060FF8	ANQCORDungeonTyss	Tyss	M	0RedRobin	0RedRobinHL
02062BE9	04062BE9	ANQCORGlyciaFulgentius	Glycia Fulgentius	F	0Lenore	0LenoreHL
02063CC0	04063CC0	ANQCORMeraendil	Meraendil	F	0Laurell	0LaurellHL
02063CC1	04063CC1	ANQCORMaerendil	Maerendil	M	0Victor	0VictorHL
0206564D	0406564D	ANQCORBaroFulgentius	Baro Fulgentius	M	0TheTruth	0TheTruthHL
020677B3	040677B3	ANQTribalHunterM02ASuthay	Tribal Hunter	M	0RedRobin	0RedRobinHL
020677B4	040677B4	ANQTribalHunterM02BSuthay	Tribal Hunter	M	0RedRobin	0RedRobinHL
020677B5	040677B5	ANQTribalHunterF02ASuthay	Tribal Hunter	F	0Lenore	0LenoreHL
020677B6	040677B6	ANQTribalHunterF02BSuthay	Tribal Hunter	F	0Leona	0LeonaHL
020677B7	040677B7	ANQTribalHunterM03AOhmesRaht	Tribal Hunter	M	0RedRobin	0RedRobinHL
020677B8	040677B8	ANQTribalHunterM03BOhmesRaht	Tribal Hunter	M	0Victor	0VictorHL
020677B9	040677B9	ANQTribalHunterF03AOhmesRaht	Tribal Hunter	F	0Lenore	0LenoreHL
020677BA	040677BA	ANQTribalHunterF03BOhmesRaht	Tribal Hunter	F	0Koala	0KoalaHL
020677BD	040677BD	ANQTribalHunterM02CSuthay	Tribal Hunter	M	0Theo	0TheoHL
020677BE	040677BE	ANQTribalHunterM02DSuthay	Tribal Hunter	M	0TheTruth	0TheTruthHL
02067817	04067817	ANQCOROldKharzu	Old Kharzu	M	0TheTruth	0TheTruthHL
02069983	04069983	ANQTRBDgazahbaWarChief	Dgazahba War Chief	M	0TheTruth	0TheTruthHL
02069C4B	04069C4B	ANQCORMoonPriestess01	Moon Priestess	F	0Laurell	0LaurellHL
